domain,tau,method,bin_idx,bin_lo,bin_hi,n,value,ci_lo,ci_hi,alpha,param_name
Sports,6h,binning10,0,0.05,0.15,4295,0.09569266589057043,0.08705581615329804,0.10488373498074882,,recal_prob
Sports,6h,binning10,1,0.15,0.24,4382,0.20743952533089913,0.19551816068686048,0.2197520825865576,,recal_prob
Sports,6h,binning10,2,0.24,0.31,4546,0.2855257369115706,0.2724273761843156,0.2989001317255535,,recal_prob
Sports,6h,binning10,3,0.31,0.38,4375,0.3513142857142857,0.33715747624278014,0.3656698577441385,,recal_prob
Sports,6h,binning10,4,0.38,0.44,4336,0.4232011070110701,0.4084358854770243,0.43806988409868153,,recal_prob
Sports,6h,binning10,5,0.44,0.49,4443,0.462525320729237,0.44778072325099366,0.47731922188245407,,recal_prob
Sports,6h,binning10,6,0.49,0.54,4258,0.49671207139502116,0.48158346563633025,0.5118451916492941,,recal_prob
Sports,6h,binning10,7,0.54,0.61,4920,0.542479674796748,0.5284355510437899,0.5564733516188887,,recal_prob
Sports,6h,binning10,8,0.61,0.71,4450,0.6348314606741573,0.6204879360462083,0.6489978113520651,,recal_prob
Sports,6h,binning10,9,0.71,0.95,4752,0.7699915824915825,0.7577571676080831,0.7818933900950235,,recal_prob
Sports,6h,platt,,,,44757,0.911615488961105,,,,a_slope_on_logit_p
Sports,6h,platt,,,,44757,-0.03344987762565164,,,,b_intercept
Sports,6h,conformal_mondrian,,,,44757,0.75,,,0.05,q_hat
Sports,6h,conformal_mondrian,,,,44757,0.6799999999999999,,,0.1,q_hat
Sports,6h,conformal_mondrian,,,,44757,0.58,,,0.2,q_hat
Crypto,6h,binning10,0,0.05,0.09,1010,0.09207920792079208,0.07496208947028801,0.111615463026241,,recal_prob
Crypto,6h,binning10,1,0.09,0.12,893,0.13773796192609183,0.11579943557095082,0.16209688262878424,,recal_prob
Crypto,6h,binning10,2,0.12,0.16,1044,0.16187739463601533,0.14003322214283426,0.18564633482306567,,recal_prob
Crypto,6h,binning10,3,0.16,0.21,1026,0.18323586744639375,0.1600125919752893,0.20829196242543765,,recal_prob
Crypto,6h,binning10,4,0.21,0.29,1175,0.26468085106382977,0.23964531383028329,0.29089993434820843,,recal_prob
Crypto,6h,binning10,5,0.29,0.4,981,0.30784913353720694,0.2790667604022542,0.33778991506316647,,recal_prob
Crypto,6h,binning10,6,0.4,0.55,1033,0.4298160696999032,0.3993800108979825,0.4606531502255974,,recal_prob
Crypto,6h,binning10,7,0.55,0.71,1015,0.6137931034482759,0.5830528039649845,0.6438713417513893,,recal_prob
Crypto,6h,binning10,8,0.71,0.85,1014,0.7633136094674556,0.7359158459311547,0.7891731961941643,,recal_prob
Crypto,6h,binning10,9,0.85,0.95,1107,0.8861788617886179,0.865983608844617,0.9042936960835994,,recal_prob
Crypto,6h,platt,,,,10298,0.8895673455676789,,,,a_slope_on_logit_p
Crypto,6h,platt,,,,10298,-0.042686180956926265,,,,b_intercept
Crypto,6h,conformal_mondrian,,,,10298,0.84,,,0.05,q_hat
Crypto,6h,conformal_mondrian,,,,10298,0.75,,,0.1,q_hat
Crypto,6h,conformal_mondrian,,,,10298,0.55,,,0.2,q_hat
Politics,6h,binning10,0,0.05,0.1,201,0.03980099502487562,0.01733733505850657,0.07691494799260916,,recal_prob
Politics,6h,binning10,1,0.1,0.21,207,0.10628019323671498,0.06781396347412891,0.15648116939847637,,recal_prob
Politics,6h,binning10,2,0.21,0.3,184,0.20652173913043478,0.15048576602437017,0.2722654854705873,,recal_prob
Politics,6h,binning10,3,0.3,0.39,208,0.32211538461538464,0.25915926280156365,0.39022871627739486,,recal_prob
Politics,6h,binning10,4,0.39,0.51,208,0.41346153846153844,0.3457999846932557,0.4836261854481665,,recal_prob
Politics,6h,binning10,5,0.51,0.61,191,0.5445026178010471,0.4710389963061717,0.6165633836666196,,recal_prob
Politics,6h,binning10,6,0.61,0.69,217,0.6082949308755761,0.5399255419267308,0.6736625751542376,,recal_prob
Politics,6h,binning10,7,0.69,0.78,204,0.6813725490196079,0.6126824847591418,0.7446988322172416,,recal_prob
Politics,6h,binning10,8,0.78,0.87,208,0.8413461538461539,0.7844686817847936,0.8882034263994808,,recal_prob
Politics,6h,binning10,9,0.87,0.95,213,0.9107981220657277,0.8642059373605157,0.9454384246805907,,recal_prob
Politics,6h,platt,,,,2041,1.0936291098688231,,,,a_slope_on_logit_p
Politics,6h,platt,,,,2041,-0.14173731910032106,,,,b_intercept
Politics,6h,conformal_mondrian,,,,2041,0.76,,,0.05,q_hat
Politics,6h,conformal_mondrian,,,,2041,0.69,,,0.1,q_hat
Politics,6h,conformal_mondrian,,,,2041,0.57,,,0.2,q_hat
Finance,6h,binning10,0,0.05,0.07,1343,0.06552494415487714,0.052881172773550575,0.0801080224288148,,recal_prob
Finance,6h,binning10,1,0.07,0.11,1984,0.10685483870967742,0.0935977232062963,0.12128607731807232,,recal_prob
Finance,6h,binning10,2,0.11,0.15,1655,0.1583081570996979,0.1410374950931322,0.17679985136200446,,recal_prob
Finance,6h,binning10,3,0.15,0.19,1608,0.1921641791044776,0.17317125794789134,0.21228778692758057,,recal_prob
