tau,domain,fit_scope,method,metric,value,raw_value,delta_vs_raw,n_test,n_quarters
1mo,ALL,per_domain,raw,brier,0.14168362068965515,0.14168362068965515,0.0,1160.0,2.0
1mo,ALL,per_domain,platt,brier,0.14206341263395347,0.14168362068965515,0.0003797919442983244,1160.0,2.0
1mo,ALL,per_domain,isotonic,brier,0.1433995471504656,0.14168362068965515,0.0017159264608104519,1160.0,2.0
1mo,ALL,per_domain,binning10,brier,0.146915759086827,0.14168362068965515,0.005232138397171848,1160.0,2.0
1mo,ALL,per_domain,venn_abers,brier,0.14338180816905005,0.14168362068965515,0.0016981874793949026,1160.0,2.0
1mo,ALL,per_domain,raw,ece,0.05063793103448267,0.05063793103448267,0.0,1160.0,2.0
1mo,ALL,per_domain,platt,ece,0.04783175478978897,0.05063793103448267,-0.0028061762446937033,1160.0,2.0
1mo,ALL,per_domain,isotonic,ece,0.05011602024801227,0.05063793103448267,-0.0005219107864704031,1160.0,2.0
1mo,ALL,per_domain,binning10,ece,0.051483101395114236,0.05063793103448267,0.0008451703606315655,1160.0,2.0
1mo,ALL,per_domain,venn_abers,ece,0.05162373419319967,0.05063793103448267,0.0009858031587169983,1160.0,2.0
1mo,ALL,per_domain,raw,log_loss,0.4425044902407778,0.4425044902407778,0.0,1160.0,2.0
1mo,ALL,per_domain,platt,log_loss,0.4440096554160807,0.4425044902407778,0.0015051651753028583,1160.0,2.0
1mo,ALL,per_domain,isotonic,log_loss,0.5297606751486504,0.4425044902407778,0.08725618490787262,1160.0,2.0
1mo,ALL,per_domain,binning10,log_loss,0.5085514865075896,0.4425044902407778,0.06604699626681182,1160.0,2.0
1mo,ALL,per_domain,venn_abers,log_loss,0.4458020193781461,0.4425044902407778,0.0032975291373683047,1160.0,2.0
1mo,Entertainment,per_domain,raw,brier,0.15666455223880593,0.15666455223880593,0.0,268.0,2.0
1mo,Entertainment,per_domain,platt,brier,0.15977933696177393,0.15666455223880593,0.0031147847229680004,268.0,2.0
1mo,Entertainment,per_domain,isotonic,brier,0.15925316202621648,0.15666455223880593,0.002588609787410545,268.0,2.0
1mo,Entertainment,per_domain,binning10,brier,0.16392313555457286,0.15666455223880593,0.0072585833157669255,268.0,2.0
1mo,Entertainment,per_domain,venn_abers,brier,0.1583795468724234,0.15666455223880593,0.0017149946336174615,268.0,2.0
1mo,Entertainment,per_domain,raw,ece,0.06906716417910441,0.06906716417910441,0.0,268.0,2.0
1mo,Entertainment,per_domain,platt,ece,0.08820531266086779,0.06906716417910441,0.019138148481763373,268.0,2.0
1mo,Entertainment,per_domain,isotonic,ece,0.09118850426666557,0.06906716417910441,0.022121340087561156,268.0,2.0
1mo,Entertainment,per_domain,binning10,ece,0.1033645368543258,0.06906716417910441,0.034297372675221385,268.0,2.0
1mo,Entertainment,per_domain,venn_abers,ece,0.08826381806703285,0.06906716417910441,0.019196653887928433,268.0,2.0
1mo,Entertainment,per_domain,raw,log_loss,0.4842150829986027,0.4842150829986027,0.0,268.0,2.0
