tau,domain,test_quarter,n_test,cov_static_once,cov_rolling,cov_aci_g0.005,absdev_static_once,absdev_rolling,absdev_aci_g0.005,mad_static_once,mad_rolling,mad_aci_g0.005,n_quarters,n_test_total,static_once_n_cal_frozen,static_once_borrowed_pooled
1w,Sports,2024Q4,40,0.85,0.85,0.85,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.08632421864544113,0.038515316932900084,0.021233483540580023,4,1697,17.0,True
1w,Sports,2025Q1,156,0.8269230769230769,0.9807692307692308,0.9230769230769232,0.07307692307692315,0.08076923076923082,0.023076923076923217,0.08632421864544113,0.038515316932900084,0.021233483540580023,4,1697,17.0,True
1w,Sports,2025Q2,302,0.804635761589404,0.8807947019867549,0.890728476821192,0.09536423841059605,0.01920529801324511,0.009271523178807972,0.08632421864544113,0.038515316932900084,0.021233483540580023,4,1697,17.0,True
1w,Sports,2025Q3,1199,0.7731442869057548,0.9040867389491244,0.8974145120934112,0.12685571309424526,0.004086738949124369,0.002585487906588857,0.08632421864544113,0.038515316932900084,0.021233483540580023,4,1697,17.0,True
1w,Crypto,2024Q4,16,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09418604651162787,0.06424418604651155,0.06424418604651155,4,89,10.0,True
1w,Crypto,2025Q1,10,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09418604651162787,0.06424418604651155,0.06424418604651155,4,89,10.0,True
1w,Crypto,2025Q2,20,1.0,0.95,0.95,0.09999999999999998,0.04999999999999993,0.04999999999999993,0.09418604651162787,0.06424418604651155,0.06424418604651155,4,89,10.0,True
1w,Crypto,2025Q3,43,0.9767441860465116,0.9069767441860463,0.9069767441860463,0.07674418604651156,0.006976744186046324,0.006976744186046324,0.09418604651162787,0.06424418604651155,0.06424418604651155,4,89,10.0,True
1w,Politics,2024Q4,42,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.07619047619047614,0.07619047619047614,0.07619047619047614,0.04521651188317849,0.06757635368746476,0.0467834634501301,4,699,58.0,False
1w,Politics,2025Q1,243,0.8765432098765432,0.8065843621399177,0.8395061728395061,0.023456790123456805,0.09341563786008233,0.060493827160493896,0.04521651188317849,0.06757635368746476,0.0467834634501301,4,699,58.0,False
