method,fit_scope,domain,tau,alpha,metric,value,n_test
Raw,pooled,ALL,24h,NA,brier,0.18765754965835055,31465
Raw,pooled,ALL,24h,NA,log_loss,0.5528616565089528,31465
Raw,pooled,ALL,24h,NA,ece,0.01834037819799776,31465
Raw,pooled,Sports,24h,NA,brier,0.19672643911279883,23174
Raw,pooled,Sports,24h,NA,log_loss,0.5745580563999474,23174
Raw,pooled,Sports,24h,NA,ece,0.016540519547769066,23174
Raw,pooled,Crypto,24h,NA,brier,0.207154303030303,825
Raw,pooled,Crypto,24h,NA,log_loss,0.6097780260804434,825
Raw,pooled,Crypto,24h,NA,ece,0.09113939393939399,825
Raw,pooled,Politics,24h,NA,brier,0.1801702743902439,1312
Raw,pooled,Politics,24h,NA,log_loss,0.5299145561010813,1312
Raw,pooled,Politics,24h,NA,ece,0.056890243902439006,1312
Raw,pooled,Finance,24h,NA,brier,0.1578256140350877,570
Raw,pooled,Finance,24h,NA,log_loss,0.48315500821374346,570
Raw,pooled,Finance,24h,NA,ece,0.03859649122807016,570
Raw,pooled,Weather,24h,NA,brier,0.15272917169765757,4141
Raw,pooled,Weather,24h,NA,log_loss,0.46673319458250495,4141
Raw,pooled,Weather,24h,NA,ece,0.02712146824438541,4141
Raw,pooled,Entertainment,24h,NA,brier,0.1496940401940402,1443
Raw,pooled,Entertainment,24h,NA,log_loss,0.46744860739628963,1443
Raw,pooled,Entertainment,24h,NA,ece,0.042252252252252244,1443
Platt,pooled,ALL,24h,NA,brier,0.1874866079089669,31465
Platt,pooled,ALL,24h,NA,log_loss,0.5523584282691721,31465
Platt,pooled,ALL,24h,NA,ece,0.01564061164984752,31465
Platt,pooled,Sports,24h,NA,brier,0.19661424559857835,23174
Platt,pooled,Sports,24h,NA,log_loss,0.5741902172367527,23174
Platt,pooled,Sports,24h,NA,ece,0.01374917705060667,23174
Platt,pooled,Crypto,24h,NA,brier,0.20554454918801843,825
Platt,pooled,Crypto,24h,NA,log_loss,0.6051783212051418,825
Platt,pooled,Crypto,24h,NA,ece,0.08337673059913069,825
Platt,pooled,Politics,24h,NA,brier,0.17944128700621498,1312
Platt,pooled,Politics,24h,NA,log_loss,0.5285782023048642,1312
Platt,pooled,Politics,24h,NA,ece,0.05121575281165697,1312
Platt,pooled,Finance,24h,NA,brier,0.15810165856163946,570
Platt,pooled,Finance,24h,NA,log_loss,0.48404620256928904,570
Platt,pooled,Finance,24h,NA,ece,0.040122536489198765,570
Platt,pooled,Weather,24h,NA,brier,0.1527278616955962,4141
Platt,pooled,Weather,24h,NA,log_loss,0.4665518963667823,4141
Platt,pooled,Weather,24h,NA,ece,0.02771405610638777,4141
Platt,pooled,Entertainment,24h,NA,brier,0.14924625645205936,1443
Platt,pooled,Entertainment,24h,NA,log_loss,0.4663959781756287,1443
Platt,pooled,Entertainment,24h,NA,ece,0.038690256608248416,1443
Isotonic,pooled,ALL,24h,NA,brier,0.18793593224764837,31465
Isotonic,pooled,ALL,24h,NA,log_loss,0.5535417178596311,31465
Isotonic,pooled,ALL,24h,NA,ece,0.013460269323016921,31465
Isotonic,pooled,Sports,24h,NA,brier,0.19706249462573625,23174
Isotonic,pooled,Sports,24h,NA,log_loss,0.5753093107047297,23174
Isotonic,pooled,Sports,24h,NA,ece,0.01207553484932141,23174
Isotonic,pooled,Crypto,24h,NA,brier,0.20614726938538178,825
Isotonic,pooled,Crypto,24h,NA,log_loss,0.6082196009961267,825
Isotonic,pooled,Crypto,24h,NA,ece,0.0804412031030389,825
Isotonic,pooled,Politics,24h,NA,brier,0.1805903107555544,1312
Isotonic,pooled,Politics,24h,NA,log_loss,0.530629612441321,1312
Isotonic,pooled,Politics,24h,NA,ece,0.054060722082262994,1312
Isotonic,pooled,Finance,24h,NA,brier,0.15890567109638362,570
Isotonic,pooled,Finance,24h,NA,log_loss,0.4857559814333875,570
Isotonic,pooled,Finance,24h,NA,ece,0.052344410967857885,570
Isotonic,pooled,Weather,24h,NA,brier,0.15287077789268638,4141
Isotonic,pooled,Weather,24h,NA,log_loss,0.4673741415812509,4141
Isotonic,pooled,Weather,24h,NA,ece,0.02615619154630759,4141
Isotonic,pooled,Entertainment,24h,NA,brier,0.1497281697731563,1443
Isotonic,pooled,Entertainment,24h,NA,log_loss,0.46758678734032105,1443
Isotonic,pooled,Entertainment,24h,NA,ece,0.035851957221521666,1443
HistogramBinning,pooled,ALL,24h,NA,brier,0.1895204358201706,31465
HistogramBinning,pooled,ALL,24h,NA,log_loss,0.5580491416427874,31465
HistogramBinning,pooled,ALL,24h,NA,ece,0.01746354423435162,31465
HistogramBinning,pooled,Sports,24h,NA,brier,0.198544119400205,23174
HistogramBinning,pooled,Sports,24h,NA,log_loss,0.5792992205196914,23174
HistogramBinning,pooled,Sports,24h,NA,ece,0.017684359231730496,23174
HistogramBinning,pooled,Crypto,24h,NA,brier,0.20955764534679544,825
HistogramBinning,pooled,Crypto,24h,NA,log_loss,0.6123788572531401,825
HistogramBinning,pooled,Crypto,24h,NA,ece,0.08333609202932969,825
HistogramBinning,pooled,Politics,24h,NA,brier,0.1869508835822433,1312
HistogramBinning,pooled,Politics,24h,NA,log_loss,0.5525720231734755,1312
HistogramBinning,pooled,Politics,24h,NA,ece,0.030903858491238057,1312
HistogramBinning,pooled,Finance,24h,NA,brier,0.16224570157295923,570
HistogramBinning,pooled,Finance,24h,NA,log_loss,0.49804605869691526,570
HistogramBinning,pooled,Finance,24h,NA,ece,0.05535971519246157,570
HistogramBinning,pooled,Weather,24h,NA,brier,0.15278516104612144,4141
HistogramBinning,pooled,Weather,24h,NA,log_loss,0.46712415600487356,4141
HistogramBinning,pooled,Weather,24h,NA,ece,0.024199803548282866,4141
HistogramBinning,pooled,Entertainment,24h,NA,brier,0.15167780432552502,1443
HistogramBinning,pooled,Entertainment,24h,NA,log_loss,0.4753303328871211,1443
HistogramBinning,pooled,Entertainment,24h,NA,ece,0.0367602372954492,1443
VennAbers,pooled,ALL,24h,NA,brier,0.18791776641426888,31465
VennAbers,pooled,ALL,24h,NA,log_loss,0.5534859402153691,31465
VennAbers,pooled,ALL,24h,NA,ece,0.0133276162339615,31465
VennAbers,pooled,Sports,24h,NA,brier,0.19704208533827597,23174
VennAbers,pooled,Sports,24h,NA,log_loss,0.5752431080321919,23174
VennAbers,pooled,Sports,24h,NA,ece,0.011799476417614368,23174
VennAbers,pooled,Crypto,24h,NA,brier,0.2059586843494058,825
VennAbers,pooled,Crypto,24h,NA,log_loss,0.6073323453279735,825
VennAbers,pooled,Crypto,24h,NA,ece,0.07972557886482318,825
VennAbers,pooled,Politics,24h,NA,brier,0.18054035512980027,1312
VennAbers,pooled,Politics,24h,NA,log_loss,0.530657488298351,1312
VennAbers,pooled,Politics,24h,NA,ece,0.054355056661351805,1312
VennAbers,pooled,Finance,24h,NA,brier,0.15888279197644786,570
VennAbers,pooled,Finance,24h,NA,log_loss,0.4857421902571997,570
VennAbers,pooled,Finance,24h,NA,ece,0.054198821259169805,570
VennAbers,pooled,Weather,24h,NA,brier,0.1528969675907239,4141
VennAbers,pooled,Weather,24h,NA,log_loss,0.46748827067306137,4141
VennAbers,pooled,Weather,24h,NA,ece,0.026561189754010506,4141
VennAbers,pooled,Entertainment,24h,NA,brier,0.14974694376815162,1443
VennAbers,pooled,Entertainment,24h,NA,log_loss,0.4675935803824036,1443
VennAbers,pooled,Entertainment,24h,NA,ece,0.03566814619090159,1443
Conformal-marginal,pooled,ALL,24h,NA,brier,0.18765754965835055,31465
Conformal-marginal,pooled,ALL,24h,NA,log_loss,0.5528616565089528,31465
Conformal-marginal,pooled,ALL,24h,NA,ece,0.01834037819799776,31465
Conformal-marginal,pooled,Sports,24h,NA,brier,0.19672643911279883,23174
Conformal-marginal,pooled,Sports,24h,NA,log_loss,0.5745580563999474,23174
Conformal-marginal,pooled,Sports,24h,NA,ece,0.016540519547769066,23174
Conformal-marginal,pooled,Crypto,24h,NA,brier,0.207154303030303,825
Conformal-marginal,pooled,Crypto,24h,NA,log_loss,0.6097780260804434,825
Conformal-marginal,pooled,Crypto,24h,NA,ece,0.09113939393939399,825
Conformal-marginal,pooled,Politics,24h,NA,brier,0.1801702743902439,1312
Conformal-marginal,pooled,Politics,24h,NA,log_loss,0.5299145561010813,1312
Conformal-marginal,pooled,Politics,24h,NA,ece,0.056890243902439006,1312
Conformal-marginal,pooled,Finance,24h,NA,brier,0.1578256140350877,570
Conformal-marginal,pooled,Finance,24h,NA,log_loss,0.48315500821374346,570
Conformal-marginal,pooled,Finance,24h,NA,ece,0.03859649122807016,570
Conformal-marginal,pooled,Weather,24h,NA,brier,0.15272917169765757,4141
Conformal-marginal,pooled,Weather,24h,NA,log_loss,0.46673319458250495,4141
Conformal-marginal,pooled,Weather,24h,NA,ece,0.02712146824438541,4141
Conformal-marginal,pooled,Entertainment,24h,NA,brier,0.1496940401940402,1443
Conformal-marginal,pooled,Entertainment,24h,NA,log_loss,0.46744860739628963,1443
Conformal-marginal,pooled,Entertainment,24h,NA,ece,0.042252252252252244,1443
Conformal-marginal,pooled,ALL,24h,0.1,coverage,0.9222946130621326,31465
Conformal-marginal,pooled,ALL,24h,0.1,avg_set_size,1.5201017003019228,31465
Conformal-marginal,pooled,Sports,24h,0.1,coverage,0.9235781479243981,23174
Conformal-marginal,pooled,Sports,24h,0.1,avg_set_size,1.5642530422024683,23174
Conformal-marginal,pooled,Crypto,24h,0.1,coverage,0.8569696969696969,825
Conformal-marginal,pooled,Crypto,24h,0.1,avg_set_size,1.3890909090909092,825
Conformal-marginal,pooled,Politics,24h,0.1,coverage,0.9253048780487805,1312
Conformal-marginal,pooled,Politics,24h,0.1,avg_set_size,1.482469512195122,1312
Conformal-marginal,pooled,Finance,24h,0.1,coverage,0.8964912280701754,570
Conformal-marginal,pooled,Finance,24h,0.1,avg_set_size,1.2947368421052632,570
Conformal-marginal,pooled,Weather,24h,0.1,coverage,0.934315382757788,4141
Conformal-marginal,pooled,Weather,24h,0.1,avg_set_size,1.41294373339773,4141
Conformal-marginal,pooled,Entertainment,24h,0.1,coverage,0.911988911988912,1443
Conformal-marginal,pooled,Entertainment,24h,0.1,avg_set_size,1.3167013167013166,1443
Conformal-marginal,pooled,ALL,24h,0.05,coverage,0.9688860638805021,31465
Conformal-marginal,pooled,ALL,24h,0.05,avg_set_size,1.7162243762911171,31465
Conformal-marginal,pooled,Sports,24h,0.05,coverage,0.9721239319927505,23174
Conformal-marginal,pooled,Sports,24h,0.05,avg_set_size,1.7647794942608095,23174
Conformal-marginal,pooled,Crypto,24h,0.05,coverage,0.9175757575757576,825
Conformal-marginal,pooled,Crypto,24h,0.05,avg_set_size,1.5793939393939394,825
Conformal-marginal,pooled,Politics,24h,0.05,coverage,0.9763719512195121,1312
Conformal-marginal,pooled,Politics,24h,0.05,avg_set_size,1.6821646341463414,1312
Conformal-marginal,pooled,Finance,24h,0.05,coverage,0.9456140350877194,570
Conformal-marginal,pooled,Finance,24h,0.05,avg_set_size,1.5035087719298246,570
Conformal-marginal,pooled,Weather,24h,0.05,coverage,0.9698140545761893,4141
Conformal-marginal,pooled,Weather,24h,0.05,avg_set_size,1.581502052644289,4141
Conformal-marginal,pooled,Entertainment,24h,0.05,coverage,0.9459459459459459,1443
Conformal-marginal,pooled,Entertainment,24h,0.05,avg_set_size,1.5162855162855162,1443
Conformal-marginal,pooled,ALL,24h,0.2,coverage,0.7894168123311616,31465
Conformal-marginal,pooled,ALL,24h,0.2,avg_set_size,1.1788018433179723,31465
Conformal-marginal,pooled,Sports,24h,0.2,coverage,0.7826443427979632,23174
Conformal-marginal,pooled,Sports,24h,0.2,avg_set_size,1.2040649003193233,23174
Conformal-marginal,pooled,Crypto,24h,0.2,coverage,0.7503030303030302,825
Conformal-marginal,pooled,Crypto,24h,0.2,avg_set_size,1.1296969696969696,825
Conformal-marginal,pooled,Politics,24h,0.2,coverage,0.7675304878048781,1312
Conformal-marginal,pooled,Politics,24h,0.2,avg_set_size,1.1196646341463414,1312
Conformal-marginal,pooled,Finance,24h,0.2,coverage,0.8070175438596491,570
Conformal-marginal,pooled,Finance,24h,0.2,avg_set_size,1.0736842105263158,570
Conformal-marginal,pooled,Weather,24h,0.2,coverage,0.8268534170490219,4141
Conformal-marginal,pooled,Weather,24h,0.2,avg_set_size,1.1185703936247284,4141
Conformal-marginal,pooled,Entertainment,24h,0.2,coverage,0.8260568260568261,1443
