method,fit_scope,domain,tau,alpha,metric,value,n_test
Raw,pooled,ALL,24h,NA,brier,0.17780509490115695,50737
Raw,pooled,ALL,24h,NA,log_loss,0.5300667586092807,50737
Raw,pooled,ALL,24h,NA,ece,0.014140962216922567,50737
Raw,pooled,Sports,24h,NA,brier,0.19531395595336243,25473
Raw,pooled,Sports,24h,NA,log_loss,0.5712214990662389,25473
Raw,pooled,Sports,24h,NA,ece,0.01380520551171829,25473
Raw,pooled,Crypto,24h,NA,brier,0.1920226320582878,2196
Raw,pooled,Crypto,24h,NA,log_loss,0.5723052261451779,2196
Raw,pooled,Crypto,24h,NA,ece,0.03923952641165759,2196
Raw,pooled,Politics,24h,NA,brier,0.17956612665684832,2037
Raw,pooled,Politics,24h,NA,log_loss,0.5307044973267784,2037
Raw,pooled,Politics,24h,NA,ece,0.03870397643593518,2037
Raw,pooled,Finance,24h,NA,brier,0.1418118175535591,2894
Raw,pooled,Finance,24h,NA,log_loss,0.44794017981694473,2894
Raw,pooled,Finance,24h,NA,ece,0.016233586731167943,2894
Raw,pooled,Weather,24h,NA,brier,0.15894671773873995,15142
Raw,pooled,Weather,24h,NA,log_loss,0.48426242696754407,15142
Raw,pooled,Weather,24h,NA,ece,0.017211728965790502,15142
Raw,pooled,Entertainment,24h,NA,brier,0.1473897161936561,2995
Raw,pooled,Entertainment,24h,NA,log_loss,0.459567278344749,2995
Raw,pooled,Entertainment,24h,NA,ece,0.034110183639398994,2995
Platt,pooled,ALL,24h,NA,brier,0.17780712442551394,50737
Platt,pooled,ALL,24h,NA,log_loss,0.5301260583349918,50737
Platt,pooled,ALL,24h,NA,ece,0.014618533255709592,50737
Platt,pooled,Sports,24h,NA,brier,0.19528750665525807,25473
Platt,pooled,Sports,24h,NA,log_loss,0.5711892068990009,25473
Platt,pooled,Sports,24h,NA,ece,0.013670183242428302,25473
Platt,pooled,Crypto,24h,NA,brier,0.19172756697183288,2196
Platt,pooled,Crypto,24h,NA,log_loss,0.570943982751471,2196
Platt,pooled,Crypto,24h,NA,ece,0.03573655379960848,2196
Platt,pooled,Politics,24h,NA,brier,0.17939381489371783,2037
Platt,pooled,Politics,24h,NA,log_loss,0.5304790550941757,2037
Platt,pooled,Politics,24h,NA,ece,0.037751489638444595,2037
Platt,pooled,Finance,24h,NA,brier,0.14177204646982527,2894
Platt,pooled,Finance,24h,NA,log_loss,0.44774141110275145,2894
Platt,pooled,Finance,24h,NA,ece,0.01572959479828786,2894
Platt,pooled,Weather,24h,NA,brier,0.15907713066651308,15142
Platt,pooled,Weather,24h,NA,log_loss,0.4848039651952292,15142
Platt,pooled,Weather,24h,NA,ece,0.02019430532725973,15142
Platt,pooled,Entertainment,24h,NA,brier,0.14736169011794606,2995
Platt,pooled,Entertainment,24h,NA,log_loss,0.45945210295079797,2995
Platt,pooled,Entertainment,24h,NA,ece,0.0331606335927249,2995
Isotonic,pooled,ALL,24h,NA,brier,0.17836146731161276,50737
Isotonic,pooled,ALL,24h,NA,log_loss,0.5322533867309877,50737
Isotonic,pooled,ALL,24h,NA,ece,0.017704882490739298,50737
Isotonic,pooled,Sports,24h,NA,brier,0.19593668662730834,25473
Isotonic,pooled,Sports,24h,NA,log_loss,0.5735256659968135,25473
Isotonic,pooled,Sports,24h,NA,ece,0.016688635281579968,25473
Isotonic,pooled,Crypto,24h,NA,brier,0.19241578554748429,2196
Isotonic,pooled,Crypto,24h,NA,log_loss,0.575683183125405,2196
Isotonic,pooled,Crypto,24h,NA,ece,0.039756429196545776,2196
Isotonic,pooled,Politics,24h,NA,brier,0.18079749418355742,2037
Isotonic,pooled,Politics,24h,NA,log_loss,0.5346070483961214,2037
Isotonic,pooled,Politics,24h,NA,ece,0.044363681081658966,2037
Isotonic,pooled,Finance,24h,NA,brier,0.14174292235459304,2894
Isotonic,pooled,Finance,24h,NA,log_loss,0.4464845648345029,2894
Isotonic,pooled,Finance,24h,NA,ece,0.015630045202937322,2894
Isotonic,pooled,Weather,24h,NA,brier,0.1594287504716995,15142
Isotonic,pooled,Weather,24h,NA,log_loss,0.48608647172977465,15142
Isotonic,pooled,Weather,24h,NA,ece,0.018424518485102164,15142
Isotonic,pooled,Entertainment,24h,NA,brier,0.1480223141505924,2995
Isotonic,pooled,Entertainment,24h,NA,log_loss,0.464066203453658,2995
Isotonic,pooled,Entertainment,24h,NA,ece,0.03691328878160333,2995
HistogramBinning,pooled,ALL,24h,NA,brier,0.1805734704272251,50737
HistogramBinning,pooled,ALL,24h,NA,log_loss,0.537948598334537,50737
HistogramBinning,pooled,ALL,24h,NA,ece,0.017269847058750773,50737
HistogramBinning,pooled,Sports,24h,NA,brier,0.1979365088520121,25473
HistogramBinning,pooled,Sports,24h,NA,log_loss,0.5784410709493655,25473
HistogramBinning,pooled,Sports,24h,NA,ece,0.020564853164895966,25473
HistogramBinning,pooled,Crypto,24h,NA,brier,0.1945732018600404,2196
HistogramBinning,pooled,Crypto,24h,NA,log_loss,0.5771799124865554,2196
HistogramBinning,pooled,Crypto,24h,NA,ece,0.02930686794224599,2196
HistogramBinning,pooled,Politics,24h,NA,brier,0.19048128222132754,2037
HistogramBinning,pooled,Politics,24h,NA,log_loss,0.5620546849061258,2037
HistogramBinning,pooled,Politics,24h,NA,ece,0.04124779776373398,2037
HistogramBinning,pooled,Finance,24h,NA,brier,0.14535467664631618,2894
HistogramBinning,pooled,Finance,24h,NA,log_loss,0.45953428596757145,2894
HistogramBinning,pooled,Finance,24h,NA,ece,0.014861663589421013,2894
HistogramBinning,pooled,Weather,24h,NA,brier,0.16041046823261795,15142
HistogramBinning,pooled,Weather,24h,NA,log_loss,0.48865550396983154,15142
HistogramBinning,pooled,Weather,24h,NA,ece,0.021119771609520763,15142
HistogramBinning,pooled,Entertainment,24h,NA,brier,0.1518646449804949,2995
HistogramBinning,pooled,Entertainment,24h,NA,log_loss,0.4733763898933639,2995
HistogramBinning,pooled,Entertainment,24h,NA,ece,0.023957185488067603,2995
VennAbers,pooled,ALL,24h,NA,brier,0.17833691434475363,50737
VennAbers,pooled,ALL,24h,NA,log_loss,0.5318316780404874,50737
VennAbers,pooled,ALL,24h,NA,ece,0.017492741696183655,50737
VennAbers,pooled,Sports,24h,NA,brier,0.19589900794862847,25473
VennAbers,pooled,Sports,24h,NA,log_loss,0.5730982237528188,25473
VennAbers,pooled,Sports,24h,NA,ece,0.016250345514484593,25473
VennAbers,pooled,Crypto,24h,NA,brier,0.19219197975022356,2196
VennAbers,pooled,Crypto,24h,NA,log_loss,0.5733268738393592,2196
VennAbers,pooled,Crypto,24h,NA,ece,0.03769927295826195,2196
VennAbers,pooled,Politics,24h,NA,brier,0.18073178458198713,2037
VennAbers,pooled,Politics,24h,NA,log_loss,0.5337882204476538,2037
VennAbers,pooled,Politics,24h,NA,ece,0.04527862027713536,2037
VennAbers,pooled,Finance,24h,NA,brier,0.14172399338149277,2894
VennAbers,pooled,Finance,24h,NA,log_loss,0.44640466692601605,2894
VennAbers,pooled,Finance,24h,NA,ece,0.018486322799291063,2894
VennAbers,pooled,Weather,24h,NA,brier,0.15947756770287086,15142
VennAbers,pooled,Weather,24h,NA,log_loss,0.48627709120943996,15142
VennAbers,pooled,Weather,24h,NA,ece,0.0193578817052761,15142
VennAbers,pooled,Entertainment,24h,NA,brier,0.14790710981851218,2995
VennAbers,pooled,Entertainment,24h,NA,log_loss,0.4619557775974358,2995
VennAbers,pooled,Entertainment,24h,NA,ece,0.03571006883285799,2995
Conformal-marginal,pooled,ALL,24h,NA,brier,0.17780509490115695,50737
Conformal-marginal,pooled,ALL,24h,NA,log_loss,0.5300667586092807,50737
Conformal-marginal,pooled,ALL,24h,NA,ece,0.014140962216922567,50737
Conformal-marginal,pooled,Sports,24h,NA,brier,0.19531395595336243,25473
Conformal-marginal,pooled,Sports,24h,NA,log_loss,0.5712214990662389,25473
Conformal-marginal,pooled,Sports,24h,NA,ece,0.01380520551171829,25473
Conformal-marginal,pooled,Crypto,24h,NA,brier,0.1920226320582878,2196
Conformal-marginal,pooled,Crypto,24h,NA,log_loss,0.5723052261451779,2196
Conformal-marginal,pooled,Crypto,24h,NA,ece,0.03923952641165759,2196
Conformal-marginal,pooled,Politics,24h,NA,brier,0.17956612665684832,2037
Conformal-marginal,pooled,Politics,24h,NA,log_loss,0.5307044973267784,2037
