domain,bin,lo,hi,n,successes,freq,ci_lo,ci_hi
Sports,0,0.05,0.1,205,9,0.04390243902439024,0.020268650473549327,0.08170200077529491
Sports,1,0.1,0.19,231,28,0.12121212121212122,0.08207624404645725,0.1704020578894986
Sports,2,0.19,0.27,249,63,0.25301204819277107,0.2002379578963855,0.3117697906844964
Sports,3,0.27,0.34,219,65,0.2968036529680365,0.2371407229239982,0.3620628789859714
Sports,4,0.34,0.42,208,62,0.2980769230769231,0.23679716476602006,0.3652165333075769
Sports,5,0.42,0.5060000000000013,269,111,0.41263940520446096,0.35320195331112403,0.474023570881514
Sports,6,0.5060000000000013,0.6,228,117,0.5131578947368421,0.4462839896360944,0.5796852732599527
Sports,7,0.6,0.69,221,154,0.6968325791855203,0.6316152469417032,0.7566801827256228
Sports,8,0.69,0.8,234,163,0.6965811965811965,0.6333103071953543,0.7547917606769183
Sports,9,0.8,0.95,238,204,0.8571428571428571,0.8061322082038668,0.8989953742907041
Crypto,0,0.05,0.1,127,15,0.11811023622047244,0.06763491723123204,0.1873140187271565
Crypto,1,0.1,0.14,140,38,0.2714285714285714,0.1997799674738542,0.3530129656186899
Crypto,2,0.14,0.2,125,29,0.232,0.16121166053027544,0.31590342311258196
Crypto,3,0.2,0.3,151,41,0.271523178807947,0.20242247154363677,0.3498197171174138
Crypto,4,0.3,0.43,133,52,0.39097744360902253,0.3075825184109908,0.4793399405802563
Crypto,5,0.43,0.51,134,65,0.48507462686567165,0.39789967257014475,0.5729236528751575
Crypto,6,0.51,0.61,145,82,0.5655172413793104,0.48075314754706494,0.6475489851109901
Crypto,7,0.61,0.75,126,98,0.7777777777777778,0.6950895602221375,0.8469697083414376
Crypto,8,0.75,0.86,144,121,0.8402777777777778,0.7700395451778539,0.8959736578080918
Crypto,9,0.86,0.95,146,134,0.9178082191780822,0.8608290508124857,0.9568086087152354
Politics,0,0.05,0.09,67,5,0.07462686567164178,0.02467470659959018,0.16562616620484522
Politics,1,0.09,0.19,80,7,0.0875,0.035906358989558754,0.1720083384198848
Politics,2,0.19,0.27,73,14,0.1917808219178082,0.10900617553717258,0.3007886424877443
Politics,3,0.27,0.35,71,21,0.29577464788732394,0.19329682698181908,0.41593312428819273
Politics,4,0.35,0.48,78,37,0.47435897435897434,0.3600694298480282,0.5906539569284948
Politics,5,0.48,0.5980000000000006,74,44,0.5945945945945946,0.47410196045513425,0.7072744508168057
Politics,6,0.5980000000000006,0.7,73,37,0.5068493150684932,0.3871729045143875,0.6259528638386331
Politics,7,0.7,0.79,74,48,0.6486486486486487,0.5289013185065636,0.7560953602623899
Politics,8,0.79,0.9,70,53,0.7571428571428571,0.639884758007587,0.8517109722037493
Politics,9,0.9,0.95,79,73,0.9240506329113924,0.8419858776952927,0.9716181843745733
Finance,0,0.05,0.06,292,24,0.0821917808219178,0.05337083505943045,0.11982680962367583
Finance,1,0.06,0.09,682,51,0.0747800586510264,0.056182497297875486,0.09715243145348783
Finance,2,0.09,0.11,504,71,0.14087301587301587,0.11168965403780752,0.1743439240283252
Finance,3,0.11,0.13,392,53,0.13520408163265307,0.10294360323388309,0.17309356268991094
Finance,4,0.13,0.17,635,92,0.14488188976377953,0.1184206173530829,0.1746941551548047
Finance,5,0.17,0.21,483,79,0.16356107660455488,0.13168411055036405,0.19962229862402894
Finance,6,0.21,0.28,505,122,0.24158415841584158,0.20486685741499594,0.2813574156766029
Finance,7,0.28,0.44,525,179,0.34095238095238095,0.30044585852746925,0.383261492172294
Finance,8,0.44,0.7630000000000018,507,298,0.5877712031558185,0.543529623656209,0.6309834038070965
Finance,9,0.7630000000000018,0.95,503,440,0.8747514910536779,0.8426127020939138,0.9023980618049092
Weather,0,0.05,0.08,1587,88,0.055450535601764335,0.0447072364538075,0.06787299462672941
Weather,1,0.08,0.12,1762,140,0.07945516458569807,0.06725202199489978,0.09307939110573916
Weather,2,0.12,0.16,1635,210,0.12844036697247707,0.11259492662132012,0.14563266074184486
Weather,3,0.16,0.21,1778,298,0.16760404949381327,0.15052067104923705,0.18579175674547185
Weather,4,0.21,0.27,2000,443,0.2215,0.20346967254335563,0.24035038243285686
Weather,5,0.27,0.32,1653,426,0.2577132486388385,0.2367714318164544,0.2795187954157142
Weather,6,0.32,0.37,1831,610,0.3331512834516658,0.31157058653685876,0.35526783465611406
Weather,7,0.37,0.43,1780,688,0.3865168539325843,0.3638171171002375,0.4095913778279839
Weather,8,0.43,0.52,1750,815,0.4657142857142857,0.4421318205628834,0.48941189320556705
Weather,9,0.52,0.95,1783,1161,0.6511497476163769,0.6285123159629278,0.6732886685998132
Entertainment,0,0.05,0.06200000000000017,165,4,0.024242424242424242,0.006643864380149583,0.06090462567357187
Entertainment,1,0.06200000000000017,0.1,143,7,0.04895104895104895,0.019904601742005094,0.09825605061219009
Entertainment,2,0.1,0.15,177,18,0.1016949152542373,0.06139274679770236,0.1559557694653428
Entertainment,3,0.15,0.23,163,30,0.18404907975460122,0.12775672978022257,0.2521968442462646
Entertainment,4,0.23,0.36,165,50,0.30303030303030304,0.2340081813875225,0.3792839933471101
Entertainment,5,0.36,0.54,172,55,0.31976744186046513,0.25082834191459935,0.3950453016058738
Entertainment,6,0.54,0.72,162,94,0.5802469135802469,0.5002801465226514,0.6572226270193562
Entertainment,7,0.72,0.85,161,119,0.7391304347826086,0.6641685927134782,0.8050694769250826
Entertainment,8,0.85,0.9179999999999996,170,147,0.8647058823529412,0.8039380384379127,0.9122630492914435
Entertainment,9,0.9179999999999996,0.95,165,147,0.8909090909090909,0.8330760031392389,0.934050905820018
