family,comparison,metric,tau,domain,fit_scope,alpha,point_estimate,ci_lo,ci_hi,boot_median,significant,n_markets,n_quarters
H1,binning10 - raw,dbrier,1w,ALL,per_domain,NA,0.002919671160268263,0.0007093195368503448,0.004995775935274459,0.0029403344071186085,True,3844,4
H1,isotonic - raw,dbrier,1w,ALL,per_domain,NA,0.002017949086587413,9.319895376556103e-05,0.004203388840690526,0.001986588661752486,True,3844,4
H1,platt - raw,dbrier,1w,ALL,per_domain,NA,0.00010060478318162024,-0.0013796505293930442,0.0016700711316460855,8.850845199785428e-05,False,3844,4
H1,venn_abers - raw,dbrier,1w,ALL,per_domain,NA,0.0014543336789690497,-0.00035720293462720195,0.003326266602141142,0.0014914960896308858,False,3844,4
H1,binning10 - raw,dbrier,1w,Entertainment,per_domain,NA,0.003537526388482658,-0.0007933385639057126,0.007833272751215335,0.0036498419983111807,False,1134,4
H1,isotonic - raw,dbrier,1w,Entertainment,per_domain,NA,0.002383584738183832,-0.002098063930488602,0.006980706929439178,0.002424437398902762,False,1134,4
H1,platt - raw,dbrier,1w,Entertainment,per_domain,NA,-6.01986752936481e-05,-0.003950322520546545,0.0035989315982529347,-4.9721408473470584e-05,False,1134,4
H1,venn_abers - raw,dbrier,1w,Entertainment,per_domain,NA,0.0013356069854663485,-0.0028227142051324003,0.005906810961266423,0.0013510576720645665,False,1134,4
H1,binning10 - raw,dbrier,1w,Finance,per_domain,NA,0.00029670157624358975,-0.003164522752800487,0.0038227531454135427,0.00023413343988013,False,660,4
H1,isotonic - raw,dbrier,1w,Finance,per_domain,NA,-0.0002306880696603367,-0.003532382611467034,0.0030738870961538422,-0.00021440683436860475,False,660,4
H1,platt - raw,dbrier,1w,Finance,per_domain,NA,0.0005969676128938405,-0.0016069762730859065,0.002922628520019356,0.000576851100943739,False,660,4
H1,venn_abers - raw,dbrier,1w,Finance,per_domain,NA,-0.00010016496692710999,-0.003334034449954837,0.0029277244374436226,-0.0001666740251179392,False,660,4
H1,binning10 - raw,dbrier,1w,Politics,per_domain,NA,0.00014850542158626167,-0.009393693813236473,0.009367072573178689,7.033059470426967e-05,False,414,2
H1,isotonic - raw,dbrier,1w,Politics,per_domain,NA,-0.000816958021856992,-0.008194688893243577,0.0070555170064733,-0.0006117259349382631,False,414,2
H1,platt - raw,dbrier,1w,Politics,per_domain,NA,0.000945715152282488,-0.0030981966497791616,0.004606810058169289,0.0009533512233743597,False,414,2
H1,venn_abers - raw,dbrier,1w,Politics,per_domain,NA,-0.0007358676284666057,-0.00822791851805281,0.0072301572889543865,-0.0004447696945968119,False,414,2
H1,binning10 - raw,dbrier,1w,Sports,per_domain,NA,0.004033622604899346,0.0013492549436904956,0.006822613262403572,0.0040024591295745975,True,1501,2
H1,isotonic - raw,dbrier,1w,Sports,per_domain,NA,0.003396666105633534,0.0006034363244739882,0.006222788558234538,0.0032931316449909018,True,1501,2
H1,platt - raw,dbrier,1w,Sports,per_domain,NA,-0.00027880961961595336,-0.0021792313297799007,0.0017936614791916848,-0.00019787928983531122,False,1501,2
H1,venn_abers - raw,dbrier,1w,Sports,per_domain,NA,0.002691049336664276,0.0007793698796225971,0.004865608487673011,0.0027426778236771827,True,1501,2
H1,binning10 - raw,dbrier,1w,Weather,per_domain,NA,0.006665845931262732,-0.011307242232737512,0.025937051505156402,0.006810499007884397,False,135,4
H1,isotonic - raw,dbrier,1w,Weather,per_domain,NA,0.003304371246001723,-0.010320806222610265,0.017480913372435573,0.0032117026094714645,False,135,4
H1,platt - raw,dbrier,1w,Weather,per_domain,NA,0.0006515453764578327,-0.008186823228241855,0.008791684184422464,0.0004710759188992636,False,135,4
H1,venn_abers - raw,dbrier,1w,Weather,per_domain,NA,0.0030175804626827985,-0.009557609725310683,0.01530181197029068,0.0027333435340527942,False,135,4
H1,binning10 - raw,dlog_loss,1w,ALL,per_domain,NA,0.02121291857454963,0.009260117471300962,0.03509768116614809,0.020736981137725097,True,3844,4
H1,isotonic - raw,dlog_loss,1w,ALL,per_domain,NA,0.051908948832991256,0.028365761584880484,0.07748057158301692,0.051092462746231915,True,3844,4
H1,platt - raw,dlog_loss,1w,ALL,per_domain,NA,0.001295831681250445,-0.003379643205831715,0.006331508372485585,0.0012169646599772639,False,3844,4
H1,venn_abers - raw,dlog_loss,1w,ALL,per_domain,NA,0.004559205329653111,-0.0004615866158721347,0.009541249562142756,0.0047426019861131425,False,3844,4
H1,binning10 - raw,dlog_loss,1w,Entertainment,per_domain,NA,0.030678731926791828,0.003839499853156547,0.06664525795455536,0.0296624433283876,True,1134,4
H1,isotonic - raw,dlog_loss,1w,Entertainment,per_domain,NA,0.05039129408522639,0.012117725267174535,0.09713849132889087,0.04846602747410894,True,1134,4
H1,platt - raw,dlog_loss,1w,Entertainment,per_domain,NA,0.0021684939417142123,-0.00855005706270531,0.015379384183777416,0.002139912308433266,False,1134,4
H1,venn_abers - raw,dlog_loss,1w,Entertainment,per_domain,NA,0.005101351730239985,-0.006132567380660084,0.01644655240607907,0.005258758880640894,False,1134,4
H1,binning10 - raw,dlog_loss,1w,Finance,per_domain,NA,-0.0015490429129333223,-0.012128465302839217,0.010373271201356712,-0.0015240435080084353,False,660,4
H1,isotonic - raw,dlog_loss,1w,Finance,per_domain,NA,0.02882684551210586,-0.009668474011108916,0.08380375775086309,0.02687609986246635,False,660,4
H1,platt - raw,dlog_loss,1w,Finance,per_domain,NA,-0.0007608864842523157,-0.0067617514551701575,0.0051461110358128875,-0.0006923809040004021,False,660,4
H1,venn_abers - raw,dlog_loss,1w,Finance,per_domain,NA,0.0010706576504609432,-0.00811439764323885,0.010440020704126984,0.0008897980510351238,False,660,4
H1,binning10 - raw,dlog_loss,1w,Politics,per_domain,NA,0.008211962687028743,-0.01334204778354132,0.02907683338944222,0.009133033848933882,False,414,2
H1,isotonic - raw,dlog_loss,1w,Politics,per_domain,NA,0.05500994262085123,-0.006252168062332954,0.14013993900636,0.051865191304052496,False,414,2
