year,tau,method,fit_scope,domain,metric,value,n_test,n_quarters
2022,24h,binning10,per_domain,ALL,brier,0.1675384309415995,2924.0,3.0
2022,24h,binning10,per_domain,ALL,ece,0.050908747854518877,2924.0,3.0
2022,24h,binning10,per_domain,ALL,log_loss,0.5112496554417753,2924.0,3.0
2022,24h,binning10,per_domain,Finance,brier,0.13700167335127708,800.0,2.0
2022,24h,binning10,per_domain,Finance,ece,0.04495318154242371,800.0,2.0
2022,24h,binning10,per_domain,Finance,log_loss,0.4455060473760763,800.0,2.0
2022,24h,binning10,per_domain,Weather,brier,0.17904003455377365,2124.0,3.0
2022,24h,binning10,per_domain,Weather,ece,0.0597421662406438,2124.0,3.0
2022,24h,binning10,per_domain,Weather,log_loss,0.5360118430371421,2124.0,3.0
2022,24h,binning10,pooled,ALL,brier,0.16477073894025884,3175.0,3.0
2022,24h,binning10,pooled,ALL,ece,0.04649069515170276,3175.0,3.0
2022,24h,binning10,pooled,ALL,log_loss,0.50442447421489,3175.0,3.0
2022,24h,binning10,pooled,Entertainment,brier,0.1925811676051882,9.0,1.0
2022,24h,binning10,pooled,Entertainment,log_loss,0.5320876960834384,9.0,1.0
2022,24h,binning10,pooled,Finance,brier,0.13856711708821637,1040.0,3.0
2022,24h,binning10,pooled,Finance,ece,0.05174496764900362,1040.0,3.0
2022,24h,binning10,pooled,Finance,log_loss,0.45090840671377125,1040.0,3.0
2022,24h,binning10,pooled,Politics,brier,0.06564356674361646,2.0,2.0
2022,24h,binning10,pooled,Politics,log_loss,0.2858943963929909,2.0,2.0
2022,24h,binning10,pooled,Weather,brier,0.1775766368745964,2124.0,3.0
2022,24h,binning10,pooled,Weather,ece,0.04872124282720412,2124.0,3.0
2022,24h,binning10,pooled,Weather,log_loss,0.5307167535745841,2124.0,3.0
2022,24h,conformal_marginal,pooled,ALL,avg_set_size,1.3562204724409448,3175.0,3.0
2022,24h,conformal_marginal,pooled,ALL,coverage,0.9014173228346457,3175.0,3.0
2022,24h,conformal_marginal,pooled,Entertainment,avg_set_size,1.2222222222222223,9.0,1.0
2022,24h,conformal_marginal,pooled,Entertainment,coverage,0.8888888888888888,9.0,1.0
2022,24h,conformal_marginal,pooled,Finance,avg_set_size,1.1605769230769232,1040.0,3.0
2022,24h,conformal_marginal,pooled,Finance,coverage,0.8817307692307692,1040.0,3.0
2022,24h,conformal_marginal,pooled,Politics,avg_set_size,1.5,2.0,2.0
2022,24h,conformal_marginal,pooled,Politics,coverage,1.0,2.0,2.0
2022,24h,conformal_marginal,pooled,Weather,avg_set_size,1.4524482109227872,2124.0,3.0
2022,24h,conformal_marginal,pooled,Weather,coverage,0.9110169491525424,2124.0,3.0
2022,24h,conformal_mondrian,per_domain,ALL,avg_set_size,1.3577952755905511,3175.0,3.0
2022,24h,conformal_mondrian,per_domain,ALL,coverage,0.9014173228346457,3175.0,3.0
2022,24h,conformal_mondrian,per_domain,Entertainment,avg_set_size,1.0,9.0,1.0
