domain,fit_scope,method,bin,lo,hi,n,mean_p,mean_y
Politics,pooled,Raw,0,0.05,0.09099999999999994,132,0.06734848484848485,0.05303030303030303
Politics,pooled,Raw,1,0.09099999999999994,0.21,125,0.14312000000000002,0.12
Politics,pooled,Raw,2,0.21,0.33,135,0.273111111111111,0.2222222222222222
Politics,pooled,Raw,3,0.33,0.42,127,0.37149606299212595,0.4330708661417323
Politics,pooled,Raw,4,0.42,0.52,134,0.46679104477611943,0.3880597014925373
Politics,pooled,Raw,5,0.52,0.6,124,0.5584677419354839,0.5161290322580645
Politics,pooled,Raw,6,0.6,0.67,134,0.6335074626865672,0.5522388059701493
Politics,pooled,Raw,7,0.67,0.74,124,0.6997580645161289,0.5483870967741935
Politics,pooled,Raw,8,0.74,0.84,137,0.7821897810218977,0.7664233576642335
Politics,pooled,Raw,9,0.84,0.95,140,0.8960714285714286,0.95
Politics,pooled,Platt,0,0.0496059864374127,0.08956424931680249,132,0.06652886641454765,0.05303030303030303
Politics,pooled,Platt,1,0.08956424931680249,0.20484246808180243,125,0.14009102251889066,0.12
Politics,pooled,Platt,2,0.20484246808180243,0.3211840851924776,135,0.2659838512622795,0.2222222222222222
Politics,pooled,Platt,3,0.3211840851924776,0.40892558936901274,127,0.3615934779556586,0.4330708661417323
Politics,pooled,Platt,4,0.40892558936901274,0.5071682281069612,134,0.45481760536067267,0.3880597014925373
Politics,pooled,Platt,5,0.5071682281069612,0.5864881183705463,124,0.545243595791659,0.5161290322580645
Politics,pooled,Platt,6,0.5864881183705463,0.6565321325432508,134,0.6199601735264257,0.5522388059701493
Politics,pooled,Platt,7,0.6565321325432508,0.727277743605787,124,0.6865440019977598,0.5483870967741935
Politics,pooled,Platt,8,0.727277743605787,0.8298268961046086,137,0.7703908405064515,0.7664233576642335
Politics,pooled,Platt,9,0.8298268961046086,0.945437846062541,140,0.8884928454204982,0.95
Politics,pooled,VennAbers,0,0.05454545454545454,0.09666501492330909,132,0.066450073255194,0.05303030303030303
Politics,pooled,VennAbers,1,0.09666501492330909,0.20820189274447948,125,0.14353349807029114,0.12
Politics,pooled,VennAbers,2,0.20820189274447948,0.3326149425287356,135,0.25882681801703716,0.2222222222222222
Politics,pooled,VennAbers,3,0.3326149425287356,0.40540540540540543,113,0.3552465050869499,0.415929203539823
Politics,pooled,VennAbers,4,0.40540540540540543,0.466765140324963,117,0.44397239960986346,0.39316239316239315
Politics,pooled,VennAbers,5,0.466765140324963,0.6204545454545456,138,0.5298520831723694,0.5072463768115942
Politics,pooled,VennAbers,6,0.6204545454545456,0.6855345911949686,151,0.640012410607999,0.543046357615894
Politics,pooled,VennAbers,7,0.6855345911949686,0.6933638443935928,91,0.6872849680840801,0.4835164835164835
Politics,pooled,VennAbers,8,0.6933638443935928,0.8073654390934845,120,0.7134528803893795,0.7166666666666667
Politics,pooled,VennAbers,9,0.8073654390934845,0.9561403508771931,190,0.8622781401533037,0.9263157894736842
Politics,per_domain,Raw,0,0.05,0.09099999999999994,132,0.06734848484848485,0.05303030303030303
Politics,per_domain,Raw,1,0.09099999999999994,0.21,125,0.14312000000000002,0.12
Politics,per_domain,Raw,2,0.21,0.33,135,0.273111111111111,0.2222222222222222
Politics,per_domain,Raw,3,0.33,0.42,127,0.37149606299212595,0.4330708661417323
Politics,per_domain,Raw,4,0.42,0.52,134,0.46679104477611943,0.3880597014925373
Politics,per_domain,Raw,5,0.52,0.6,124,0.5584677419354839,0.5161290322580645
Politics,per_domain,Raw,6,0.6,0.67,134,0.6335074626865672,0.5522388059701493
Politics,per_domain,Raw,7,0.67,0.74,124,0.6997580645161289,0.5483870967741935
Politics,per_domain,Raw,8,0.74,0.84,137,0.7821897810218977,0.7664233576642335
Politics,per_domain,Raw,9,0.84,0.95,140,0.8960714285714286,0.95
Politics,per_domain,Platt,0,0.05791308425110028,0.0985472594534546,132,0.07525982952718198,0.05303030303030303
Politics,per_domain,Platt,1,0.0985472594534546,0.20768368674801133,125,0.14704903389227758,0.12
Politics,per_domain,Platt,2,0.20768368674801133,0.31288237634511423,135,0.2631813875934115,0.2222222222222222
Politics,per_domain,Platt,3,0.31288237634511423,0.39136993016640387,127,0.349033409632685,0.4330708661417323
Politics,per_domain,Platt,4,0.39136993016640387,0.47979807965294097,134,0.4325781159248662,0.3880597014925373
Politics,per_domain,Platt,5,0.47979807965294097,0.5524441629228823,124,0.5145326448401816,0.5161290322580645
Politics,per_domain,Platt,6,0.5524441629228823,0.6181314457131508,134,0.5836829743589591,0.5522388059701493
Politics,per_domain,Platt,7,0.6181314457131508,0.6865622891335786,124,0.6469576983041722,0.5483870967741935
Politics,per_domain,Platt,8,0.6865622891335786,0.7912291266408563,137,0.7299532628648135,0.7664233576642335
Politics,per_domain,Platt,9,0.7912291266408563,0.923019677231338,140,0.8566098797102327,0.95
Politics,per_domain,VennAbers,0,0.0689655172413793,0.08108108108108109,40,0.0689655172413793,0.0
Politics,per_domain,VennAbers,1,0.08108108108108109,0.18666666666666668,181,0.08316447421252739,0.08839779005524862
Politics,per_domain,VennAbers,2,0.18666666666666668,0.3333333333333333,149,0.25018074810884167,0.20134228187919462
Politics,per_domain,VennAbers,3,0.3333333333333333,0.44230769230769235,66,0.3576122672508214,0.30303030303030304
Politics,per_domain,VennAbers,4,0.44230769230769235,0.5306122448979592,186,0.47504601553692544,0.42473118279569894
Politics,per_domain,VennAbers,5,0.5306122448979592,0.5712603062426383,107,0.5306122448979592,0.514018691588785
Politics,per_domain,VennAbers,7,0.5712603062426383,0.6224899598393575,273,0.5743862800227533,0.5164835164835165
Politics,per_domain,VennAbers,8,0.6224899598393575,0.7924528301886793,170,0.6610544789145568,0.7588235294117647
Politics,per_domain,VennAbers,9,0.7924528301886793,0.9152086137281291,140,0.8477275986250891,0.95
Sports,pooled,Raw,0,0.05,0.12,2083,0.07976956313010083,0.06961113778204513
Sports,pooled,Raw,1,0.12,0.21,2483,0.1618445428916633,0.14619412001610954
Sports,pooled,Raw,2,0.21,0.28,2376,0.24243265993265992,0.22685185185185186
Sports,pooled,Raw,3,0.28,0.35,2319,0.3089995687796464,0.30185424752048295
Sports,pooled,Raw,4,0.35,0.42,2241,0.3812048192771084,0.4002677376171352
Sports,pooled,Raw,5,0.42,0.47,1956,0.4410838445807771,0.4488752556237219
Sports,pooled,Raw,6,0.47,0.52,2351,0.48997447894512974,0.4883028498511272
Sports,pooled,Raw,7,0.52,0.6,2698,0.5511971830985916,0.5214974054855448
Sports,pooled,Raw,8,0.6,0.71,2216,0.6461913357400723,0.6259025270758123
Sports,pooled,Raw,9,0.71,0.95,2451,0.8130232558139535,0.7792737658098735
Sports,pooled,Platt,0,0.0496059864374127,0.1177092093650294,2083,0.07861860506720542,0.06961113778204513
Sports,pooled,Platt,1,0.1177092093650294,0.20484246808180243,2483,0.15823237843046517,0.14619412001610954
Sports,pooled,Platt,2,0.20484246808180243,0.2726439015203192,2376,0.23624564476095414,0.22685185185185186
Sports,pooled,Platt,3,0.2726439015203192,0.34063665954736344,2319,0.3007919784101423,0.30185424752048295
Sports,pooled,Platt,4,0.34063665954736344,0.40892558936901274,2241,0.3710505386473706,0.4002677376171352
Sports,pooled,Platt,5,0.40892558936901274,0.45793385950742704,1956,0.42957373999761683,0.4488752556237219
Sports,pooled,Platt,6,0.45793385950742704,0.5071682281069612,2351,0.47758312694986266,0.4883028498511272
Sports,pooled,Platt,7,0.5071682281069612,0.5864881183705463,2698,0.5380441440148308,0.5214974054855448
Sports,pooled,Platt,8,0.5864881183705463,0.6968649078863314,2216,0.6327054129942101,0.6259025270758123
Sports,pooled,Platt,9,0.6968649078863314,0.945437846062541,2451,0.8025446565524512,0.7792737658098735
Sports,pooled,VennAbers,0,0.05454545454545454,0.1311796377875673,2083,0.08110909486762505,0.06961113778204513
Sports,pooled,VennAbers,1,0.1311796377875673,0.20820189274447948,2483,0.15797342215616866,0.14619412001610954
Sports,pooled,VennAbers,2,0.20820189274447948,0.26322263222632225,2376,0.22888808597020308,0.22685185185185186
Sports,pooled,VennAbers,3,0.26322263222632225,0.3326149425287356,1705,0.28627964229796243,0.29266862170087976
Sports,pooled,VennAbers,4,0.3326149425287356,0.40540540540540543,2502,0.35533037461285044,0.3764988009592326
Sports,pooled,VennAbers,5,0.40540540540540543,0.4532085561497326,1896,0.43474255871988654,0.4388185654008439
Sports,pooled,VennAbers,6,0.4532085561497326,0.466765140324963,1822,0.45614109890160115,0.47804610318331503
Sports,pooled,VennAbers,7,0.466765140324963,0.6204545454545456,3395,0.5151769420649287,0.514580265095729
Sports,pooled,VennAbers,8,0.6204545454545456,0.6898395721925135,2284,0.6477941957048569,0.6208406304728546
Sports,pooled,VennAbers,9,0.6898395721925135,0.9561403508771931,2628,0.7832273295449912,0.7678843226788432
Sports,per_domain,Raw,0,0.05,0.12,2083,0.07976956313010083,0.06961113778204513
Sports,per_domain,Raw,1,0.12,0.21,2483,0.1618445428916633,0.14619412001610954
Sports,per_domain,Raw,2,0.21,0.28,2376,0.24243265993265992,0.22685185185185186
Sports,per_domain,Raw,3,0.28,0.35,2319,0.3089995687796464,0.30185424752048295
Sports,per_domain,Raw,4,0.35,0.42,2241,0.3812048192771084,0.4002677376171352
Sports,per_domain,Raw,5,0.42,0.47,1956,0.4410838445807771,0.4488752556237219
Sports,per_domain,Raw,6,0.47,0.52,2351,0.48997447894512974,0.4883028498511272
Sports,per_domain,Raw,7,0.52,0.6,2698,0.5511971830985916,0.5214974054855448
Sports,per_domain,Raw,8,0.6,0.71,2216,0.6461913357400723,0.6259025270758123
Sports,per_domain,Raw,9,0.71,0.95,2451,0.8130232558139535,0.7792737658098735
Sports,per_domain,Platt,0,0.04381360156480118,0.107621623522624,2083,0.07079047497038941,0.06961113778204513
Sports,per_domain,Platt,1,0.107621623522624,0.19205162263696782,2483,0.14667799415829028,0.14619412001610954
Sports,per_domain,Platt,2,0.19205162263696782,0.25922830235570377,2376,0.22307495227924123,0.22685185185185186
Sports,per_domain,Platt,3,0.25922830235570377,0.32757278322830513,2319,0.28745228402575773,0.30185424752048295
Sports,per_domain,Platt,4,0.32757278322830513,0.3969901025602236,2241,0.3584330034575285,0.4002677376171352
Sports,per_domain,Platt,5,0.3969901025602236,0.447186511606614,1956,0.41811594513434824,0.4488752556237219
Sports,per_domain,Platt,6,0.447186511606614,0.49786251829082173,2351,0.4673936045681411,0.4883028498511272
Sports,per_domain,Platt,7,0.49786251829082173,0.5798724330482974,2698,0.5297575460033298,0.5214974054855448
Sports,per_domain,Platt,8,0.5798724330482974,0.6942924107801476,2216,0.6277799984021375,0.6259025270758123
Sports,per_domain,Platt,9,0.6942924107801476,0.9480033094769196,2451,0.8029928166783395,0.7792737658098735
Sports,per_domain,VennAbers,0,0.03846153846153846,0.09999999999999999,1813,0.06262538138269856,0.06398234969663541
Sports,per_domain,VennAbers,1,0.09999999999999999,0.23602484472049687,2167,0.14882948189326844,0.13013382556529765
Sports,per_domain,VennAbers,2,0.23602484472049687,0.288135593220339,2962,0.25778735683264475,0.21910871033085752
Sports,per_domain,VennAbers,3,0.288135593220339,0.3023255813953488,2319,0.2922834374483593,0.30185424752048295
Sports,per_domain,VennAbers,4,0.3023255813953488,0.32222222222222224,1535,0.3023255813953489,0.37980456026058634
Sports,per_domain,VennAbers,5,0.32222222222222224,0.46784338583061097,2249,0.3610546371678343,0.44019564250778126
Sports,per_domain,VennAbers,6,0.46784338583061097,0.4713656387665199,1379,0.46784338583061097,0.4655547498187092
Sports,per_domain,VennAbers,7,0.4713656387665199,0.5632183908045977,3543,0.4858747509952009,0.5176404177250917
Sports,per_domain,VennAbers,8,0.5632183908045977,0.7037037037037037,1860,0.6166228182186866,0.5860215053763441
Sports,per_domain,VennAbers,9,0.7037037037037037,0.9772727272727272,3347,0.7664947794134601,0.7433522557514192
