domain,tau,method,bin,lo,hi,n,mean_p,mean_y
Politics,24h,raw,0,0.05,0.09,112,0.060000000000000005,0.044642857142857144
Politics,24h,raw,1,0.09,0.18,124,0.12483870967741936,0.08064516129032258
Politics,24h,raw,2,0.18,0.28,108,0.23046296296296298,0.17592592592592593
Politics,24h,raw,3,0.28,0.36,124,0.3146774193548387,0.28225806451612906
Politics,24h,raw,4,0.36,0.47,119,0.4059663865546218,0.47058823529411764
Politics,24h,raw,5,0.47,0.59,112,0.531875,0.5357142857142857
Politics,24h,raw,6,0.59,0.67,120,0.6265833333333333,0.6083333333333333
Politics,24h,raw,7,0.67,0.77,123,0.7179674796747967,0.6910569105691057
Politics,24h,raw,8,0.77,0.88,119,0.8165546218487393,0.7647058823529411
Politics,24h,raw,9,0.88,0.95,120,0.9223333333333332,0.925
Politics,24h,platt,0,0.044718759551014536,0.08339709650550728,116,0.0572222233362508,0.05172413793103448
Politics,24h,platt,1,0.08339709650550728,0.16543478855212726,119,0.11786894599050289,0.07563025210084033
Politics,24h,platt,2,0.16543478855212726,0.2659783291306662,120,0.22086227501669728,0.19166666666666668
Politics,24h,platt,3,0.2659783291306662,0.343139765901559,117,0.3040072056007615,0.28205128205128205
Politics,24h,platt,4,0.343139765901559,0.4584077722676785,118,0.39213662072099537,0.4661016949152542
Politics,24h,platt,5,0.4584077722676785,0.5780027027295861,119,0.5201234789406222,0.5546218487394958
Politics,24h,platt,6,0.5780027027295861,0.6524568396532915,118,0.6153546696555164,0.6186440677966102
Politics,24h,platt,7,0.6524568396532915,0.7536843778445418,113,0.7069330174951479,0.672566371681416
Politics,24h,platt,8,0.7536843778445418,0.8728225102761049,119,0.805694202424416,0.773109243697479
Politics,24h,platt,9,0.8728225102761049,0.9524166939002443,122,0.917474199004601,0.9180327868852459
Politics,24h,venn_abers,0,0.045454545454545456,0.0949367088607595,118,0.06101881561560182,0.059322033898305086
Politics,24h,venn_abers,1,0.0949367088607595,0.1497304023226877,115,0.11988939366407601,0.0782608695652174
Politics,24h,venn_abers,2,0.1497304023226877,0.26625766871165646,119,0.21585646657018817,0.2184873949579832
Politics,24h,venn_abers,3,0.26625766871165646,0.3494363929146538,105,0.30217998612330776,0.24761904761904763
Politics,24h,venn_abers,4,0.3494363929146538,0.4498269896193771,131,0.38748535458427386,0.44274809160305345
Politics,24h,venn_abers,5,0.4498269896193771,0.6037296037296038,99,0.5111600553424575,0.5353535353535354
Politics,24h,venn_abers,6,0.6037296037296038,0.6938775510204082,134,0.6158844645307044,0.6044776119402985
Politics,24h,venn_abers,7,0.6938775510204082,0.7321428571428572,122,0.7098693889177294,0.680327868852459
Politics,24h,venn_abers,8,0.7321428571428572,0.872093023255814,112,0.7898021356235141,0.7946428571428571
Politics,24h,venn_abers,9,0.872093023255814,0.9677419354838711,126,0.9235427805523231,0.8968253968253969
Politics,1w,raw,0,0.05,0.07,51,0.05529411764705882,0.058823529411764705
Politics,1w,raw,1,0.07,0.12599999999999995,89,0.09067415730337079,0.0898876404494382
Politics,1w,raw,2,0.12599999999999995,0.19,60,0.15216666666666667,0.16666666666666666
Politics,1w,raw,3,0.19,0.27,76,0.22157894736842101,0.23684210526315788
Politics,1w,raw,4,0.27,0.42,73,0.34232876712328764,0.4931506849315068
Politics,1w,raw,5,0.42,0.57,69,0.4923188405797102,0.6376811594202898
Politics,1w,raw,6,0.57,0.69,67,0.6319402985074627,0.5970149253731343
Politics,1w,raw,7,0.69,0.78,73,0.7306849315068493,0.6027397260273972
Politics,1w,raw,8,0.78,0.89,66,0.8316666666666667,0.8333333333333334
Politics,1w,raw,9,0.89,0.95,75,0.9232000000000001,0.84
Politics,1w,platt,0,0.03723058109795741,0.05443276629101762,62,0.045046054783681726,0.04838709677419355
Politics,1w,platt,1,0.05443276629101762,0.10475348219126608,77,0.0750494523571559,0.1038961038961039
Politics,1w,platt,2,0.10475348219126608,0.1690047106203793,67,0.13121163702693417,0.14925373134328357
Politics,1w,platt,3,0.1690047106203793,0.2402140168849848,73,0.19905409434995402,0.2465753424657534
Politics,1w,platt,4,0.2402140168849848,0.40505307917668626,70,0.3181907243267976,0.5571428571428572
Politics,1w,platt,5,0.40505307917668626,0.5543413863887666,70,0.4695123791656336,0.6
