domain,time_bin,size_bin,n_ours,slope_ours,slope_le,delta
Crypto,0-1h,Single,624783,1.0363390412089286,1.0363390412089286,0.0
Crypto,0-1h,Small,1447956,1.0202186812183636,1.0202186812183636,0.0
Crypto,0-1h,Medium,1960893,1.013146958066813,1.013146958066813,0.0
Crypto,0-1h,Large,1004894,0.9888836398287421,0.9888836398287418,2.220446049250313e-16
Crypto,1-3h,Single,8560,0.9166656446931366,0.9166656446931366,0.0
Crypto,1-3h,Small,26148,1.1001768542038948,1.1001768542038948,0.0
Crypto,1-3h,Medium,73394,0.9993656174736542,0.999365617473654,1.1102230246251565e-16
Crypto,1-3h,Large,65347,1.013840367023093,1.013840367023093,0.0
Crypto,3-6h,Single,6673,1.019903261971214,1.019903261971214,0.0
Crypto,3-6h,Small,23987,1.085916852833237,1.085916852833237,0.0
Crypto,3-6h,Medium,69369,1.0505262039994179,1.050526203999418,-2.220446049250313e-16
Crypto,3-6h,Large,57624,1.0664977294777094,1.0664977294777094,0.0
Crypto,6-12h,Single,6161,0.9068638948609903,0.9068638948609904,-1.1102230246251565e-16
Crypto,6-12h,Small,21324,0.8826517771166271,0.882651777116627,1.1102230246251565e-16
Crypto,6-12h,Medium,57215,0.9838017388403565,0.9838017388403564,1.1102230246251565e-16
Crypto,6-12h,Large,47177,1.0104099479822315,1.0104099479822315,0.0
Crypto,12-24h,Single,9108,0.8275580413441017,0.8275580413441017,0.0
Crypto,12-24h,Small,28172,0.9433537069039948,0.9433537069039948,0.0
Crypto,12-24h,Medium,64429,1.022718142705081,1.0227181427050809,2.220446049250313e-16
Crypto,12-24h,Large,34973,1.0026836771526713,1.0026836771526713,0.0
Crypto,24-48h,Single,2678,0.8834246856723748,0.8834246856723746,1.1102230246251565e-16
Crypto,24-48h,Small,6651,1.172518548544023,1.172518548544023,0.0
Crypto,24-48h,Medium,10366,1.2651909006886153,1.2651909006886155,-2.220446049250313e-16
Crypto,24-48h,Large,5726,1.2036975624195343,1.2036975624195343,0.0
Crypto,2d-1w,Single,5297,0.9027144857161369,0.9027144857161368,1.1102230246251565e-16
Crypto,2d-1w,Small,14493,0.8841077587776034,0.8841077587776034,0.0
Crypto,2d-1w,Medium,27122,1.0559247313229791,1.0559247313229794,-2.220446049250313e-16
Crypto,2d-1w,Large,13465,1.1466270922569914,1.1466270922569912,2.220446049250313e-16
Crypto,1w-1mo,Single,7315,1.010614660632246,1.010614660632246,0.0
Crypto,1w-1mo,Small,25056,0.8592545070013748,0.8592545070013746,2.220446049250313e-16
Crypto,1w-1mo,Medium,38323,0.9795970744074379,0.9795970744074378,1.1102230246251565e-16
Crypto,1w-1mo,Large,18912,1.1051798682532525,1.1051798682532523,2.220446049250313e-16
Crypto,1mo+,Single,16584,1.678662511586835,1.678662511586835,0.0
Crypto,1mo+,Small,39791,1.7760484012126432,1.7760484012126432,0.0
Crypto,1mo+,Medium,42123,1.5184605332228271,1.5184605332228271,0.0
Crypto,1mo+,Large,18767,1.3416611554830415,1.3416611554830415,0.0
Entertainment,0-1h,Single,2049,0.8517486456155992,0.8517486456155992,0.0
Entertainment,0-1h,Small,7308,0.9798509390482477,0.9798509390482478,-1.1102230246251565e-16
Entertainment,0-1h,Medium,15097,0.8881724743227705,0.8881724743227704,1.1102230246251565e-16
Entertainment,0-1h,Large,7014,0.797366707612982,0.7973667076129821,-1.1102230246251565e-16
Entertainment,1-3h,Single,3151,0.9526705111600817,0.9526705111600818,-1.1102230246251565e-16
Entertainment,1-3h,Small,12313,1.109417709069086,1.109417709069086,0.0
Entertainment,1-3h,Medium,23451,1.023265731224822,1.023265731224822,0.0
Entertainment,1-3h,Large,8652,1.0161783254176169,1.0161783254176169,0.0
Entertainment,3-6h,Single,3706,1.0772155925011924,1.0772155925011924,0.0
Entertainment,3-6h,Small,12114,1.075304738938526,1.075304738938526,0.0
Entertainment,3-6h,Medium,22985,1.0463438732779795,1.0463438732779795,0.0
Entertainment,3-6h,Large,9020,0.9852203348524394,0.9852203348524392,2.220446049250313e-16
Entertainment,6-12h,Single,9239,0.9287002499648218,0.928700249964822,-2.220446049250313e-16
Entertainment,6-12h,Small,33139,0.9785631860834109,0.9785631860834108,1.1102230246251565e-16
Entertainment,6-12h,Medium,53469,0.962542116981714,0.962542116981714,0.0
Entertainment,6-12h,Large,18500,0.9068871214220638,0.906887121422064,-1.1102230246251565e-16
Entertainment,12-24h,Single,13773,0.9308650454650348,0.9308650454650348,0.0
Entertainment,12-24h,Small,50657,1.030654260153956,1.030654260153956,0.0
Entertainment,12-24h,Medium,81089,0.9513129455775478,0.9513129455775476,1.1102230246251565e-16
Entertainment,12-24h,Large,22913,0.8638806843879434,0.8638806843879434,0.0
Entertainment,24-48h,Single,10632,0.972567501171534,0.972567501171534,0.0
Entertainment,24-48h,Small,31955,0.984466564873022,0.984466564873022,0.0
Entertainment,24-48h,Medium,43076,0.8571737767522332,0.8571737767522332,0.0
Entertainment,24-48h,Large,12617,0.8406990247286575,0.8406990247286574,1.1102230246251565e-16
Entertainment,2d-1w,Single,44290,0.9821127294662202,0.9821127294662204,-2.220446049250313e-16
Entertainment,2d-1w,Small,110079,0.9915215921176365,0.9915215921176364,1.1102230246251565e-16
Entertainment,2d-1w,Medium,144918,1.0372346557033953,1.0372346557033951,2.220446049250313e-16
Entertainment,2d-1w,Large,68995,1.082487436885783,1.082487436885783,0.0
Entertainment,1w-1mo,Single,26985,1.1316114863767492,1.131611486376749,2.220446049250313e-16
Entertainment,1w-1mo,Small,71810,1.1296392567260434,1.1296392567260434,0.0
Entertainment,1w-1mo,Medium,99261,1.1789214843841123,1.1789214843841125,-2.220446049250313e-16
Entertainment,1w-1mo,Large,38505,1.0900576535012418,1.0900576535012418,0.0
Entertainment,1mo+,Single,8661,0.9060658307725529,0.9060658307725528,1.1102230246251565e-16
Entertainment,1mo+,Small,31606,0.9899202973122323,0.9899202973122324,-1.1102230246251565e-16
Entertainment,1mo+,Medium,53250,0.9433663076687395,0.9433663076687396,-1.1102230246251565e-16
Entertainment,1mo+,Large,22844,0.9622554594160067,0.9622554594160068,-1.1102230246251565e-16
Finance,0-1h,Single,135300,1.0723085233780183,1.0723085233780183,0.0
Finance,0-1h,Small,296062,1.055537247171818,1.055537247171818,0.0
Finance,0-1h,Medium,375238,1.012236389426085,1.012236389426085,0.0
