variant,variant_label,method,domain,tau,fit_scope,metric,value,primary_value,delta_vs_primary,n_test,primary_n_test,n_quarters
bins20,"HistogramBinning(20), primary filters",binning20,Sports,1w,per_domain,brier,0.17098802483907358,0.16784867923381336,0.0031393456052602187,1501.0,1501.0,2.0
bins20,"HistogramBinning(20), primary filters",binning20,Politics,1w,per_domain,brier,0.1736006836512327,0.16777555856168286,0.005825125089549854,414.0,414.0,2.0
bins20,"HistogramBinning(20), primary filters",binning20,Finance,1w,per_domain,brier,0.13154509678166995,0.13014291369745568,0.0014021830842142757,660.0,660.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Weather,1w,per_domain,brier,0.1732631726902009,0.159922142227559,0.0133410304626419,135.0,135.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Entertainment,1w,per_domain,brier,0.15651953557818382,0.15270525125620746,0.0038142843219763634,1134.0,1134.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,ALL,1w,per_domain,brier,0.16030883294739842,0.15662110196151688,0.0036877309858815432,3844.0,3844.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Sports,1w,pooled,brier,0.1605535569444957,0.15960710249927113,0.0009464544452245649,1697.0,1697.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Crypto,1w,pooled,brier,0.16917716997212434,0.17208522950804964,-0.0029080595359252948,89.0,89.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Politics,1w,pooled,brier,0.17935947160868407,0.18035574622583916,-0.0009962746171550962,699.0,699.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Finance,1w,pooled,brier,0.1305687696108314,0.1300226399574315,0.000546129653399896,660.0,660.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Weather,1w,pooled,brier,0.1559208023394277,0.15751158709308866,-0.001590784753660951,135.0,135.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Entertainment,1w,pooled,brier,0.15067949874319195,0.15106396014593174,-0.00038446140273978857,1134.0,1134.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,ALL,1w,pooled,brier,0.15654365037393508,0.1564619488931354,8.170148079969519e-05,4414.0,4414.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Sports,1w,per_domain,ece,0.059813023047211006,0.02776293861383324,0.03205008443337777,1501.0,1501.0,2.0
bins20,"HistogramBinning(20), primary filters",binning20,Politics,1w,per_domain,ece,0.09759488622688997,0.07069835109176426,0.026896535135125715,414.0,414.0,2.0
bins20,"HistogramBinning(20), primary filters",binning20,Finance,1w,per_domain,ece,0.07785109810229687,0.07397828643551725,0.0038728116667796214,660.0,660.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Weather,1w,per_domain,ece,0.13900940623162844,0.12933708267041596,0.009672323561212476,135.0,135.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Entertainment,1w,per_domain,ece,0.08240562643763936,0.07575882058409109,0.006646805853548279,1134.0,1134.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,ALL,1w,per_domain,ece,0.04905086711347755,0.03810972168007484,0.010941145433402709,3844.0,3844.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Sports,1w,pooled,ece,0.05389047067253313,0.052338846624632014,0.001551624047901115,1697.0,1697.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Crypto,1w,pooled,ece,0.2413882140517439,0.24585450451254398,-0.004466290460800076,63.0,63.0,2.0
bins20,"HistogramBinning(20), primary filters",binning20,Politics,1w,pooled,ece,0.1008562152541451,0.0991795209596372,0.0016766942945079105,699.0,699.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Finance,1w,pooled,ece,0.08142916875166904,0.07273894939713701,0.008690219354532028,660.0,660.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Weather,1w,pooled,ece,0.15452588712419665,0.12606694664475146,0.028458940479445194,135.0,135.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Entertainment,1w,pooled,ece,0.06354862117270564,0.05968811770010932,0.0038605034725963244,1134.0,1134.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,ALL,1w,pooled,ece,0.040425770583754864,0.036133466936540154,0.00429230364721471,4414.0,4414.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Sports,1w,per_domain,log_loss,0.5815260132636413,0.5159929323641413,0.06553308089949994,1501.0,1501.0,2.0
bins20,"HistogramBinning(20), primary filters",binning20,Politics,1w,per_domain,log_loss,0.5718834791205023,0.5085392441553426,0.06334423496515973,414.0,414.0,2.0
