domain,time_bin,time_bin_order,n_trades,slope_b,intercept_a
Crypto,0-1h,1,5038526,0.9931113785616263,-0.03573103767907284
Crypto,1-3h,2,173449,1.0125667297429464,-0.2709209452647375
Crypto,3-6h,3,157653,1.0649789177270372,0.00897066317239283
Crypto,6-12h,4,131877,1.0067839531817426,-0.13255943627038666
Crypto,12-24h,5,136682,1.0055357824592486,-0.13426178136962597
Crypto,24-48h,6,25421,1.209181446571659,0.39386951824701666
Crypto,2d-1w,7,60377,1.1210353075636696,1.2284886960509698
Crypto,1w-1mo,8,89606,1.090182947942907,0.24367249171442462
Crypto,1mo+,9,117265,1.357373066740053,1.3979382937899247
Entertainment,0-1h,1,31468,0.8133411912214379,0.07659849634303602
Entertainment,1-3h,2,47567,1.0183619064538794,-0.21287913887679802
Entertainment,3-6h,3,47825,0.9967075664061439,-0.011013862722298982
Entertainment,6-12h,4,114347,0.9185331876107973,0.07749603292375577
Entertainment,12-24h,5,168432,0.8853627538113932,-0.043332829586554614
Entertainment,24-48h,6,98280,0.8420720004409523,0.08362182073145516
Entertainment,2d-1w,7,368282,1.0729875168108767,0.035089303237286464
Entertainment,1w-1mo,8,236561,1.1083149490298427,-0.33076332633112304
Entertainment,1mo+,9,116361,0.9595076318967483,-0.2698020880423332
Finance,0-1h,1,968682,0.957185431297874,0.004383858374447723
Finance,1-3h,2,613076,1.0679505373729556,-0.004762991806908733
Finance,3-6h,3,815479,1.0251788232916792,0.0122220387772774
Finance,6-12h,4,301320,0.9666669513877741,-0.03248648809933193
Finance,12-24h,5,128216,0.9830456810718163,-0.16684725185193205
Finance,24-48h,6,64244,0.8161993692655644,-0.312021665738707
Finance,2d-1w,7,220505,1.0653555721517791,-0.42836468673499195
Finance,1w-1mo,8,354215,1.4201654138172213,-0.584917185345404
Finance,1mo+,9,240285,1.1997938057564113,0.20746000609392082
Politics,0-1h,1,24561,1.341014595093411,0.3905088011391599
Politics,1-3h,2,101834,0.9326139502828156,0.3110208830083386
Politics,3-6h,3,109992,1.316471987726349,-0.0033343890589245346
Politics,6-12h,4,104888,1.5517541608388052,-0.10077550327206226
Politics,12-24h,5,230051,1.476719542005403,-0.444899781923812
Politics,24-48h,6,149322,1.5153661110676384,-0.2818603295732212
Politics,2d-1w,7,465136,1.8325174668509985,-0.3044756548672872
Politics,1w-1mo,8,781740,1.8329400353712013,0.30838542601871854
Politics,1mo+,9,2030722,1.729525361318689,0.2883706832753042
Sports,0-1h,1,9981888,1.1014910112901286,0.005396065336341797
Sports,1-3h,2,15489483,0.9599284577890872,-0.02871925071689693
Sports,3-6h,3,5677732,0.896512985709249,-0.037214872758882946
Sports,6-12h,4,2583398,1.0058495127864158,-0.05199412054804405
Sports,12-24h,5,1806673,1.0526662446784885,-0.08109511079111334
Sports,24-48h,6,1488225,1.075182175953993,-0.01501267154434796
Sports,2d-1w,7,2043397,1.0370502070071919,-0.08322054405463171
Sports,1w-1mo,8,668502,1.2400342242221072,0.033484499297329565
Sports,1mo+,9,280643,1.7401029746253476,0.998270789884489
Weather,0-1h,1,6312,0.6875789258142744,-0.1702638070452131
Weather,1-3h,2,20565,0.8414613435837293,-0.00942091386257858
Weather,3-6h,3,48556,0.7345446620997625,-0.2200916169417165
Weather,6-12h,4,1224095,0.8690820052904693,-0.08203520297568818
Weather,12-24h,5,1453131,0.914360197773286,-0.08238452795915513
Weather,24-48h,6,890354,0.9727842720129727,0.013848351081369985
Weather,2d-1w,7,31647,1.19859071386047,-0.07741616536058703
Weather,1w-1mo,8,78738,1.1955329808041864,-0.2314116408602219
Weather,1mo+,9,21383,1.3720392212711099,-0.8242083806030229
