domain,tau,n,slope_b,intercept_a
Crypto,1h,9541,1.3607032692067902,0.06453836003729259
Crypto,1mo,78,1.6765350579139897,1.9573666921068709
Crypto,1w,148,0.9663161384637734,0.9966069601578227
Crypto,24h,2196,0.7718655389118795,-0.0026074077885823695
Crypto,6h,10298,0.8895673455676789,-0.042686180956926265
Entertainment,1h,2120,1.0684141112900054,-0.2084093125673769
Entertainment,1mo,1029,1.1169673439949064,-0.29068844544457806
Entertainment,1w,1902,1.122881108184048,-0.28068411002668653
Entertainment,24h,3086,0.997486290437348,-0.21800337989559648
Entertainment,6h,2532,1.0832334686530052,-0.20016563412742785
Finance,1h,13632,1.1653752293698403,0.030420500415073735
Finance,1mo,1271,1.1368184721917876,-0.07145596067430011
Finance,1w,1697,1.0553176413419276,-0.07897337243776457
Finance,24h,5598,0.9485638930464718,0.001771696893840189
Finance,6h,16832,0.9228048682880226,0.04803570674174654
Other,1h,4477,1.2583309829296563,-0.32019461198446875
Other,1mo,2225,1.0289084993782551,0.011349298712715577
Other,1w,3702,1.035306959748643,-0.029211151535305926
Other,24h,7175,1.0561944276229793,-0.2757812673212786
Other,6h,6031,1.1176941734983927,-0.29184525594140776
Politics,1h,771,1.1109508974749525,-0.36283237800693696
Politics,1mo,703,1.1198174507452878,0.2065151692590187
Politics,1w,1152,0.8706743413775425,-0.11915664951476494
Politics,24h,2051,0.9813956232734904,-0.17386439135369228
Politics,6h,2041,1.0936291098688231,-0.14173731910032106
Sports,1h,34366,0.9747500325235813,-0.11585846166341465
Sports,1mo,629,1.3016296195721777,0.09713575570416956
Sports,1w,3242,1.1487408703967799,-0.14392753163891103
Sports,24h,25476,0.9775133356931232,-0.06752764603064788
Sports,6h,44757,0.911615488961105,-0.033449877625651665
Weather,1h,3204,1.3669967723362755,0.15340882107132733
Weather,1mo,329,1.0568019280812142,-0.05811893125815554
Weather,1w,298,0.9848987667082442,0.36898200206015846
Weather,24h,21700,1.0795191865011122,-0.0060271090016444945
Weather,6h,5053,1.1500474309063573,0.07261606767665917
