tau,test_quarter,cal_start,cal_end,test_start,test_end,domain,n_cal,n_test,meets_200_test,per_domain_fit_ran
1mo,2025Q2,2024-04-01,2025-04-01,2025-04-01,2025-06-30,ALL,1351,583,True,True
1mo,2025Q2,2024-04-01,2025-04-01,2025-04-01,2025-06-30,Crypto,28,9,False,False
1mo,2025Q2,2024-04-01,2025-04-01,2025-04-01,2025-06-30,Entertainment,486,103,False,True
1mo,2025Q2,2024-04-01,2025-04-01,2025-04-01,2025-06-30,Finance,290,189,False,True
1mo,2025Q2,2024-04-01,2025-04-01,2025-04-01,2025-06-30,Politics,311,120,False,True
1mo,2025Q2,2024-04-01,2025-04-01,2025-04-01,2025-06-30,Sports,54,116,False,False
1mo,2025Q2,2024-04-01,2025-04-01,2025-04-01,2025-06-30,Weather,182,46,False,True
1mo,2025Q3,2024-07-01,2025-07-01,2025-07-01,2025-09-30,ALL,1746,714,True,True
1mo,2025Q3,2024-07-01,2025-07-01,2025-07-01,2025-09-30,Crypto,33,12,False,False
1mo,2025Q3,2024-07-01,2025-07-01,2025-07-01,2025-09-30,Entertainment,547,165,False,True
1mo,2025Q3,2024-07-01,2025-07-01,2025-07-01,2025-09-30,Finance,401,152,False,True
1mo,2025Q3,2024-07-01,2025-07-01,2025-07-01,2025-09-30,Politics,410,107,False,True
1mo,2025Q3,2024-07-01,2025-07-01,2025-07-01,2025-09-30,Sports,167,239,True,True
1mo,2025Q3,2024-07-01,2025-07-01,2025-07-01,2025-09-30,Weather,188,39,False,True
1w,2024Q4,2023-10-01,2024-10-01,2024-10-01,2024-12-31,ALL,1036,403,True,True
1w,2024Q4,2023-10-01,2024-10-01,2024-10-01,2024-12-31,Crypto,10,16,False,False
1w,2024Q4,2023-10-01,2024-10-01,2024-10-01,2024-12-31,Entertainment,378,155,False,True
1w,2024Q4,2023-10-01,2024-10-01,2024-10-01,2024-12-31,Finance,450,110,False,True
1w,2024Q4,2023-10-01,2024-10-01,2024-10-01,2024-12-31,Politics,58,42,False,False
1w,2024Q4,2023-10-01,2024-10-01,2024-10-01,2024-12-31,Sports,17,40,False,False
1w,2024Q4,2023-10-01,2024-10-01,2024-10-01,2024-12-31,Weather,123,40,False,True
1w,2025Q1,2024-01-01,2025-01-01,2025-01-01,2025-03-31,ALL,1319,1003,True,True
1w,2025Q1,2024-01-01,2025-01-01,2025-01-01,2025-03-31,Crypto,26,10,False,False
1w,2025Q1,2024-01-01,2025-01-01,2025-01-01,2025-03-31,Entertainment,523,418,True,True
1w,2025Q1,2024-01-01,2025-01-01,2025-01-01,2025-03-31,Finance,468,150,False,True
1w,2025Q1,2024-01-01,2025-01-01,2025-01-01,2025-03-31,Politics,94,243,True,False
1w,2025Q1,2024-01-01,2025-01-01,2025-01-01,2025-03-31,Sports,56,156,False,False
1w,2025Q1,2024-01-01,2025-01-01,2025-01-01,2025-03-31,Weather,152,26,False,True
1w,2025Q2,2024-04-01,2025-04-01,2025-04-01,2025-06-30,ALL,2072,949,True,True
1w,2025Q2,2024-04-01,2025-04-01,2025-04-01,2025-06-30,Crypto,36,20,False,False
1w,2025Q2,2024-04-01,2025-04-01,2025-04-01,2025-06-30,Entertainment,830,223,True,True
1w,2025Q2,2024-04-01,2025-04-01,2025-04-01,2025-06-30,Finance,519,219,True,True
1w,2025Q2,2024-04-01,2025-04-01,2025-04-01,2025-06-30,Politics,329,154,False,True
1w,2025Q2,2024-04-01,2025-04-01,2025-04-01,2025-06-30,Sports,210,302,True,True
1w,2025Q2,2024-04-01,2025-04-01,2025-04-01,2025-06-30,Weather,148,31,False,True
1w,2025Q3,2024-07-01,2025-07-01,2025-07-01,2025-09-30,ALL,2681,2059,True,True
1w,2025Q3,2024-07-01,2025-07-01,2025-07-01,2025-09-30,Crypto,47,43,False,False
1w,2025Q3,2024-07-01,2025-07-01,2025-07-01,2025-09-30,Entertainment,929,338,True,True
1w,2025Q3,2024-07-01,2025-07-01,2025-07-01,2025-09-30,Finance,592,181,False,True
1w,2025Q3,2024-07-01,2025-07-01,2025-07-01,2025-09-30,Politics,460,260,True,True
1w,2025Q3,2024-07-01,2025-07-01,2025-07-01,2025-09-30,Sports,507,1199,True,True
1w,2025Q3,2024-07-01,2025-07-01,2025-07-01,2025-09-30,Weather,146,38,False,True
24h,2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,ALL,1116,963,True,True
24h,2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,Crypto,0,0,False,False
24h,2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,Entertainment,25,9,False,False
24h,2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,Finance,77,240,True,False
