test_quarter,cal_start,cal_end,test_start,test_end,tau,method,fit_scope,domain,alpha,metric,value,n_test
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,na,na,ALL,NA,n_test,963.0,963
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,na,na,ALL,NA,n_cal,1116.0,963
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,na,na,Sports,NA,n_test,0.0,0
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,na,na,Sports,NA,n_cal,3.0,0
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,na,na,Crypto,NA,n_test,0.0,0
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,na,na,Crypto,NA,n_cal,0.0,0
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,na,na,Politics,NA,n_test,0.0,0
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,na,na,Politics,NA,n_cal,1.0,0
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,na,na,Finance,NA,n_test,240.0,240
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,na,na,Finance,NA,n_cal,77.0,240
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,na,na,Weather,NA,n_test,714.0,714
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,na,na,Weather,NA,n_cal,1010.0,714
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,na,na,Entertainment,NA,n_test,9.0,9
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,na,na,Entertainment,NA,n_cal,25.0,9
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,raw,pooled,ALL,NA,brier,0.16849626168224302,963
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,raw,pooled,ALL,NA,log_loss,0.5087832558913986,963
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,raw,pooled,ALL,NA,ece,0.02684319833852547,963
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,raw,pooled,Finance,NA,brier,0.13581125000000002,240
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,raw,pooled,Finance,NA,log_loss,0.43618472047206747,240
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,raw,pooled,Finance,NA,ece,0.04454166666666666,240
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,raw,pooled,Weather,NA,brier,0.17925168067226893,714
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,raw,pooled,Weather,NA,log_loss,0.5327476027644383,714
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,raw,pooled,Weather,NA,ece,0.028053221288515406,714
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,raw,pooled,Entertainment,NA,brier,0.1868333333333333,9
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,raw,pooled,Entertainment,NA,log_loss,0.5435726818124127,9
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,platt,pooled,ALL,NA,brier,0.17167336949785983,963
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,platt,pooled,ALL,NA,log_loss,0.5174959158689686,963
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,platt,pooled,ALL,NA,ece,0.052859369661693426,963
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,platt,pooled,Finance,NA,brier,0.1399619662333024,240
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,platt,pooled,Finance,NA,log_loss,0.44834330345864315,240
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,platt,pooled,Finance,NA,ece,0.06566024633160006,240
2022Q2,2021-04-01,2022-04-01,2022-04-01,2022-06-30,24h,platt,pooled,Weather,NA,brier,0.18191211880318817,714
