test_quarter,tau,domain,method,bin,lo,hi,n,mean_p,mean_y
2024Q4,24h,Politics,raw,0,0.05,0.07,2,0.05,0.0
2024Q4,24h,Politics,raw,1,0.07,0.15200000000000002,4,0.0975,0.25
2024Q4,24h,Politics,raw,2,0.15200000000000002,0.2200000000000001,3,0.18333333333333335,0.0
2024Q4,24h,Politics,raw,3,0.2200000000000001,0.332,3,0.2966666666666667,0.6666666666666666
2024Q4,24h,Politics,raw,4,0.332,0.6,2,0.42000000000000004,0.0
2024Q4,24h,Politics,raw,5,0.6,0.758,3,0.7000000000000001,0.6666666666666666
2024Q4,24h,Politics,raw,6,0.758,0.84,2,0.7949999999999999,0.5
2024Q4,24h,Politics,raw,7,0.84,0.904,4,0.86,1.0
2024Q4,24h,Politics,raw,8,0.904,0.94,2,0.92,1.0
2024Q4,24h,Politics,raw,9,0.94,0.94,4,0.94,0.5
2024Q4,24h,Sports,raw,0,0.05,0.06,2,0.05,0.0
2024Q4,24h,Sports,raw,1,0.06,0.08,4,0.0625,0.0
2024Q4,24h,Sports,raw,2,0.08,0.098,5,0.082,0.0
2024Q4,24h,Sports,raw,3,0.098,0.12,3,0.10666666666666667,0.0
2024Q4,24h,Sports,raw,4,0.12,0.16,4,0.13,0.0
2024Q4,24h,Sports,raw,5,0.16,0.2920000000000001,4,0.1975,0.5
2024Q4,24h,Sports,raw,6,0.2920000000000001,0.7840000000000001,4,0.5700000000000001,0.75
2024Q4,24h,Sports,raw,7,0.7840000000000001,0.844,3,0.8066666666666666,0.3333333333333333
2024Q4,24h,Sports,raw,8,0.844,0.902,4,0.8675,1.0
2024Q4,24h,Sports,raw,9,0.902,0.93,4,0.9225000000000001,1.0
2024Q4,24h,Politics,platt,0,0.051126893996935735,0.07084488130801063,2,0.051126893996935735,0.0
2024Q4,24h,Politics,platt,1,0.07084488130801063,0.15036059547989603,4,0.09758340453573038,0.25
2024Q4,24h,Politics,platt,2,0.15036059547989603,0.21553861700100765,3,0.18043755283552834,0.0
2024Q4,24h,Politics,platt,3,0.21553861700100765,0.3225659146683223,3,0.2888044060309401,0.6666666666666666
2024Q4,24h,Politics,platt,4,0.3225659146683223,0.5817547327574735,2,0.40717256641826755,0.0
2024Q4,24h,Politics,platt,5,0.5817547327574735,0.7397217381436071,3,0.6816380255279638,0.6666666666666666
2024Q4,24h,Politics,platt,6,0.7397217381436071,0.8242970669919296,2,0.7778079368354007,0.5
2024Q4,24h,Politics,platt,7,0.8242970669919296,0.8921413518366915,4,0.845430688051859,1.0
2024Q4,24h,Politics,platt,8,0.8921413518366915,0.9312945057794986,2,0.9094632418928653,1.0
2024Q4,24h,Politics,platt,9,0.9312945057794986,0.9312945057794986,4,0.9312945057794986,0.5
2024Q4,24h,Sports,platt,0,0.051126893996935735,0.06101044517158591,2,0.051126893996935735,0.0
2024Q4,24h,Sports,platt,1,0.06101044517158591,0.08063839232631514,4,0.0634690542056921,0.0
2024Q4,24h,Sports,platt,2,0.08063839232631514,0.09818038682874507,5,0.08259015256974704,0.0
2024Q4,24h,Sports,platt,3,0.09818038682874507,0.11950998341189278,3,0.10659495902201632,0.0
2024Q4,24h,Sports,platt,4,0.11950998341189278,0.15805798608722196,4,0.12915844627078804,0.0
2024Q4,24h,Sports,platt,5,0.15805798608722196,0.2843453846159726,4,0.19398970755708028,0.5
2024Q4,24h,Sports,platt,6,0.2843453846159726,0.766311282351184,4,0.5543016850751706,0.75
2024Q4,24h,Sports,platt,7,0.766311282351184,0.8285114452150912,3,0.789660634334925,0.3333333333333333
2024Q4,24h,Sports,platt,8,0.8285114452150912,0.890046286613992,4,0.8532624544585224,1.0
2024Q4,24h,Sports,platt,9,0.890046286613992,0.9203249332809805,4,0.9121535341447454,1.0
2024Q4,24h,Politics,venn_abers,0,0.07123287671232877,0.08192090395480225,2,0.07123287671232877,0.0
2024Q4,24h,Politics,venn_abers,1,0.08192090395480225,0.1327589238614384,4,0.09947109027527348,0.25
2024Q4,24h,Politics,venn_abers,2,0.1327589238614384,0.2154728682170543,3,0.18552800734618916,0.0
2024Q4,24h,Politics,venn_abers,3,0.2154728682170543,0.3559718969555035,2,0.2908116735066119,0.5
2024Q4,24h,Politics,venn_abers,4,0.3559718969555035,0.6504676164670921,3,0.3816640756531467,0.3333333333333333
2024Q4,24h,Politics,venn_abers,5,0.6504676164670921,0.746031746031746,1,0.6504676164670921,1.0
2024Q4,24h,Politics,venn_abers,6,0.746031746031746,0.8125,3,0.746031746031746,0.3333333333333333
2024Q4,24h,Politics,venn_abers,7,0.8125,0.878766907832652,5,0.8211229946524063,1.0
2024Q4,24h,Politics,venn_abers,8,0.878766907832652,0.9521044992743105,2,0.9273356401384083,1.0
2024Q4,24h,Politics,venn_abers,9,0.9521044992743105,0.9521044992743105,4,0.9521044992743105,0.5
2024Q4,24h,Sports,venn_abers,0,0.07123287671232877,0.07123287671232878,2,0.07123287671232877,0.0
2024Q4,24h,Sports,venn_abers,1,0.07123287671232878,0.08192090395480227,4,0.07390488352294715,0.0
2024Q4,24h,Sports,venn_abers,2,0.08192090395480227,0.1115934306599223,5,0.08450224040522113,0.0
2024Q4,24h,Sports,venn_abers,3,0.1115934306599223,0.1170212765957447,1,0.11578489177317873,0.0
2024Q4,24h,Sports,venn_abers,4,0.1170212765957447,0.14325068870523416,5,0.11702127659574471,0.0
2024Q4,24h,Sports,venn_abers,5,0.14325068870523416,0.3032375740994074,5,0.18570337625728744,0.4
2024Q4,24h,Sports,venn_abers,6,0.3032375740994074,0.7530176334242878,4,0.5996892540895014,0.75
2024Q4,24h,Sports,venn_abers,7,0.7530176334242878,0.8119124146243472,3,0.7904948130368816,0.3333333333333333
2024Q4,24h,Sports,venn_abers,8,0.8119124146243472,0.876470588235294,4,0.8177083333333334,1.0
2024Q4,24h,Sports,venn_abers,9,0.876470588235294,0.9411764705882353,4,0.9411764705882353,1.0
2025Q1,24h,Politics,raw,0,0.05,0.07,20,0.054500000000000014,0.1
2025Q1,24h,Politics,raw,1,0.07,0.11,24,0.08458333333333334,0.08333333333333333
2025Q1,24h,Politics,raw,2,0.11,0.2,27,0.14,0.1111111111111111
2025Q1,24h,Politics,raw,3,0.2,0.3,24,0.23750000000000002,0.16666666666666666
2025Q1,24h,Politics,raw,4,0.3,0.39,29,0.3344827586206897,0.3448275862068966
2025Q1,24h,Politics,raw,5,0.39,0.5680000000000001,25,0.45640000000000003,0.52
2025Q1,24h,Politics,raw,6,0.5680000000000001,0.7160000000000002,25,0.6444,0.52
2025Q1,24h,Politics,raw,7,0.7160000000000002,0.82,23,0.7695652173913043,0.6086956521739131
2025Q1,24h,Politics,raw,8,0.82,0.91,24,0.8624999999999999,0.8333333333333334
2025Q1,24h,Politics,raw,9,0.91,0.95,28,0.9317857142857143,0.9642857142857143
2025Q1,24h,Sports,raw,0,0.05,0.07300000000000005,42,0.05952380952380952,0.0
2025Q1,24h,Sports,raw,1,0.07300000000000005,0.12,39,0.09358974358974359,0.05128205128205128
2025Q1,24h,Sports,raw,2,0.12,0.19,38,0.1505263157894737,0.05263157894736842
2025Q1,24h,Sports,raw,3,0.19,0.2720000000000002,47,0.2359574468085106,0.2127659574468085
2025Q1,24h,Sports,raw,4,0.2720000000000002,0.37,40,0.31525000000000003,0.225
2025Q1,24h,Sports,raw,5,0.37,0.47,40,0.41500000000000004,0.25
2025Q1,24h,Sports,raw,6,0.47,0.58,41,0.5139024390243901,0.4878048780487805
2025Q1,24h,Sports,raw,7,0.58,0.7,42,0.6328571428571429,0.6190476190476191
2025Q1,24h,Sports,raw,8,0.7,0.83,42,0.7540476190476191,0.8095238095238095
2025Q1,24h,Sports,raw,9,0.83,0.95,43,0.9088372093023256,0.9302325581395349
2025Q1,24h,Politics,platt,0,0.045471942145195524,0.06433508804282172,20,0.04970361727642529,0.1
2025Q1,24h,Politics,platt,1,0.06433508804282172,0.10262219361129721,24,0.07825078100459247,0.08333333333333333
2025Q1,24h,Politics,platt,2,0.10262219361129721,0.19064547880102933,27,0.13181240792327797,0.1111111111111111
2025Q1,24h,Politics,platt,3,0.19064547880102933,0.290504660166109,24,0.22796926988032196,0.16666666666666666
2025Q1,24h,Politics,platt,4,0.290504660166109,0.38162880297052837,29,0.32535102326503174,0.3448275862068966
2025Q1,24h,Politics,platt,5,0.38162880297052837,0.5638862855847927,25,0.4494825080516295,0.52
2025Q1,24h,Politics,platt,6,0.5638862855847927,0.7160055233700833,25,0.6424398160064817,0.52
